,Positioning,Quad,Single_1,4G bands,Talk time,Video,Charging,Video_1,_1,Dual,WLAN,GPRS,3G bands,CPU,OS,USB,Audio quality,2G bands,Battery (old),Announced,Performance,Internal,Chipset,GPU,Status,3.5mm jack,Price,Triple,Music play,5G bands,Features_1,Build,NFC,_3,EDGE,_2,Model Name,SIM,Brand,Display,Type,Camera,Technology,Size,Model Image,Weight,Infrared port,Colors,Loudspeaker_1,Resolution,Protection,Speed,Sensors,Models,Radio,Bluetooth,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
"IP54, dust and splash resistant","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO, QZSS",,,"1, 2, 3, 4, 5, 7, 8, 12, 28, 34, 38, 39, 40, 41",,"8K, 4K, 1080p; gyro-EIS","80W wired, PD3 PPS, QC4+50W wireless",Yes,UFS 4.0 - 512GB,,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, tri-band",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),"Android 13, Flyme 10",USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2023, March 30",,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Adreno 740,"Available. Released 2023, June 20",No,About 530 EUR,"50 MP, f/1.9, (wide), PDAF, OIS50 MP f/1.9, (telephoto), PDAF, optical zoom50 MP, f/2.2, 129˚ (ultrawide)",,"1, 3, 5, 8, 28, 38, 41, 77, 78, 79 SA/NSA",HDR,,Yes,,,,Meizu 20 Pro,Nano-SIM + Nano-SIM,Meizu,,"LTPO OLED, 120Hz, HDR10+, 500 nits (typ), 1800 nits (peak)",,GSM / HSPA / LTE / 5G,"6.81 inches, 112.0 cm2(~89.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-20-pro.jpg,209 g (7.37 oz),Yes,"Gray, Gold, Silver",,"1440 x 3200 pixels, 20:9 ratio (~515 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,No,"5.3, A2DP, LE","Ring-LED flash, panorama, HDR",164.2 x 76.4 x 7.8 mm (6.46 x 3.01 x 0.31 in),No,"Yes, with stereo speakers",Li-Po 5000 mAh,"32 MP, f/2.5, (wide)",
"IP54, dust and splash resistant","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO, QZSS",,,"1, 2, 3, 4, 5, 7, 8, 12, 28, 34, 38, 39, 40, 41",,"8K, 4K, 1080p; gyro-EIS","67W wired, PD3 PPS, QC4+",Yes,UFS 4.0UFS 3.1 - 128GB only,,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, dual-band",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),"Android 13, Flyme 10","USB Type-C, OTG",,GSM 850 / 900 / 1800 / 1900,,"2023, March 30",,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Adreno 740,"Available. Released 2023, May 22",No,About 400 EUR,"50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS16 MP, f/2.4, 16mm, 122˚ (ultrawide)5 MP, f/2.4",,"1, 3, 5, 8, 28, 38, 41, 77, 78 SA/NSA",HDR,,Yes,,,,Meizu 20,Nano-SIM + Nano-SIM,Meizu,,"OLED, 1B colors, 144Hz, 500 nits (typ), 800 nits (HBM)",,GSM / HSPA / LTE / 5G,"6.55 inches, 103.6 cm2(~89.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-20.jpg,190 g (6.70 oz),,"Gray, Yellow, Mint, Rose Gold",,"1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,No,"5.3, A2DP, LE","Ring-LED flash, panorama, HDR",157.9 x 73.5 x 8 mm (6.22 x 2.89 x 0.31 in),No,"Yes, with stereo speakers",Li-Po 4700 mAh,"32 MP, f/2.5, (wide)",
Waterproof,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,,"1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41",,"8K, 4K@30/60fps, 1080p; gyro-EIS, HDR","40W wired, PD3.0, QC4, 40% in 15 min, 100% in 55 min40W wireless10W reverse wireless","4K@30fps, 1080p@30fps",UFS 3.1,,"Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (1x3.0 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),"Android 11, Flyme 9.2",USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2021, September 22",,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),Adreno 660,"Available. Released 2021, September 23",No,About 610 EUR,"50 MP, f/1.9, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom32 MP, f/2.2, 15mm, 130˚ (ultrawide), 1/2.8"", 0.8µm0.3 MP, TOF 3D, f/1.4, (depth)",,"1, 3, 41, 77, 78, 79 SA/NSA",HDR,,Yes,,,,Meizu 18s Pro,Nano-SIM + Nano-SIM,Meizu,,"Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak)",,GSM / HSPA / LTE / 5G,"6.7 inches, 107.6 cm2(~90.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-18s-pro.jpg,189 g (6.67 oz),,"Blue, White, Gray",,"1440 x 3200 pixels, 20:9 ratio (~526 ppi density)",Corning Gorilla Glass 6,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",M192Q,No,"5.2, A2DP, LE","LED flash, HDR, panorama",162.5 x 73 x 8.1 mm (6.40 x 2.87 x 0.32 in),No,"Yes, with stereo speakers",Li-Po 4500 mAh,"44 MP, f/2.4, (wide), 1/2.65”, 0.7µm",
UFS 3.1,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,,"1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",,"4K@30/60fps, 1080p; gyro-EIS","36W wired, PD3.0, QC3, 80% in 33 min, 100% in 55 min",1080p@30fps,,,"Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x3.0 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),"Android 11, Flyme 9.2",USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2021, September 22",,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),Adreno 660,"Available. Released 2021, September 23",No,About 490 EUR,"64 MP, f/1.6, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom16 MP, f/2.2, 15mm, 122˚ (ultrawide), 1/3.0"", 1.0µm",,"1, 3, 41, 77, 78, 79 SA/NSA",HDR,,Yes,,,,Meizu 18s,Nano-SIM + Nano-SIM,Meizu,,"Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak)",,GSM / HSPA / LTE / 5G,"6.2 inches, 93.8 cm2(~88.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-18s.jpg,162 g (5.71 oz),,"Light Blue, White, Aurora, Pink/Violet",,"1440 x 3200 pixels, 20:9 ratio (~563 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,No,"5.2, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",152.4 x 69.2 x 8.2 mm (6.00 x 2.72 x 0.32 in),No,"Yes, with stereo speakers",Li-Po 4000 mAh,"20 MP, f/2.2, 26mm (wide), 1/3.4"", 0.8µm",
UFS 3.1,"GPS, GLONASS, GALILEO, BDS",,,"1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41",,1080p@30fps,"30W wired, PD3.0, QC4, 70% in 30 min, 100% in 60 min",1080p@30fps,,,"Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),"Android 11, Flyme 9.2",USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2021, September 22",,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Adreno 650,"Available. Released 2021, September 22",No,About 340 EUR,"64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (depth)",,"1, 3, 41, 77, 78, 79 SA/NSA",HDR,,No,,,,Meizu 18x,Nano-SIM + Nano-SIM,Meizu,,"OLED, 1B colors, 120Hz, 500 nits (typ), 700 nits (peak)",,GSM / HSPA / LTE / 5G,"6.67 inches, 107.4 cm2(~85.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-18x.jpg,189 g (6.67 oz),,"Light Blue, White, Gray",,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.2, A2DP, LE","LED flash, HDR, panorama",165.1 x 76.4 x 8 mm (6.5 x 3.01 x 0.31 in),No,Yes,Li-Po 4300 mAh,"13 MP, f/2.0, (wide)",
Swimproof,"GPS, GLONASS, BDS, QZSS",,,"1, 3, 5, 7, 8, 20, 38, 39, 40, 41",,,,,eMMC 4.5,,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 2100,Quad-core 1.7 GHz Cortex-A53,Flyme,No,,GSM 900 / 1800,,"2021, May 31",,8GB 1GB RAM,Qualcomm Snapdragon Wear 4100 (12 nm),Adreno 504,"Available. Released 2021, June 01",No,About 190 EUR,,,,,"Glass front (Gorilla Glass), ceramic back, aluminum frame",Yes,,,No,Meizu Watch,eSIM,Meizu,,"AMOLED, 450 nits (typ)",,GSM / HSPA / LTE,1.78 inches,https://fdn2.gsmarena.com/vv/bigpic/meizu-watch.jpg,43 g (1.52 oz),,"Black, Azure",,368 x 448 pixels (~326 ppi density),Corning Gorilla Glass,"HSPA, LTE","Accelerometer, heart rate, SpO2, gyro, barometer, compass",,No,"4.2, A2DP",,46 x 38.4 x 13 mm (1.81 x 1.51 x 0.51 in),No,Yes,Li-Ion 430 mAh,,
Waterproof,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS, NavIC",,,"1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41",,"8K, 4K@30/60fps, 1080p; gyro-EIS","40W wired, PD3.0, QC4, 40% in 15 min, 100% in 50 min40W wireless10W reverse wireless","4K@30fps, 1080p@30fps",UFS 3.1,,"Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),"Android 11, Flyme 9",USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2021, March 03",,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Adreno 660,"Available. Released 2021, March 08",No,About 640 EUR,"50 MP, f/1.9, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom32 MP, f/2.2, 15mm, 130˚ (ultrawide), 1/2.8"", 0.8µm0.3 MP, TOF 3D, f/1.4, (depth)",,"1, 3, 41, 77, 78, 79 SA/NSA",HDR,,Yes,,,,Meizu 18 Pro,Nano-SIM + Nano-SIM,Meizu,,"Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak)",,GSM / HSPA / LTE / 5G,"6.7 inches, 107.6 cm2(~90.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-18-pro.jpg,189 g (6.67 oz),,"Blue, White, Gray",,"1440 x 3200 pixels, 20:9 ratio (~526 ppi density)",Corning Gorilla Glass 6,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,No,"5.2, A2DP, LE","LED flash, HDR, panorama",162.5 x 73 x 8.1 mm (6.40 x 2.87 x 0.32 in),No,"Yes, with stereo speakers",Li-Po 4500 mAh,"44 MP, f/2.4, (wide), 1/2.65”, 0.7µm",
UFS 3.1,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS, NavIC",,,"1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",,"4K@30/60fps, 1080p; gyro-EIS","36W wired, PD3.0, QC3, 40% in 15 min, 100% in 50 min",1080p@30fps,,,"Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),"Android 11, Flyme 9",USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2021, March 03",,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Adreno 660,"Available. Released 2021, March 08",No,About 560 EUR,"64 MP, f/1.6, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom16 MP, f/2.2, 15mm, 122˚ (ultrawide), 1/3.0"", 1.0µm",,"1, 3, 41, 77, 78, 79 SA/NSA",HDR,,Yes,,,,Meizu 18,Nano-SIM + Nano-SIM,Meizu,,"Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak)",,GSM / HSPA / LTE / 5G,"6.2 inches, 93.8 cm2(~88.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-18-.jpg,162 g (5.71 oz),,"Light Blue, White, Aurora",,"1440 x 3200 pixels, 20:9 ratio (~563 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,No,"5.2, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",152.4 x 69.2 x 8.2 mm (6.00 x 2.72 x 0.32 in),No,"Yes, with stereo speakers",Li-Po 4000 mAh,"20 MP, f/2.2, 26mm (wide), 1/3.4"", 0.8µm",
CDMA 800 & TD-SCDMA,"GPS (L1+L5), GLONASS, BDS",,,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,"4K@30/60fps, 1080p; gyro-EIS","30W wired, QC3, 45% in 30 min27W wireless",1080p@30fps,UFS 3.1,,"Wi-Fi 802.11 а/b/g/n/ac/6, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),"Android 10, Flyme 8.1",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2020, May 08",,"128GB 8GB RAM, 256GB 12GB RAM",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Adreno 650,"Available. Released 2020, May 11",No,About 560 EUR,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.4, 79mm (telephoto), 1.0µm, PDAF32 MP, f/2.2, 15mm, 129˚ (ultrawide), 1/2.8"", 0.8µm0.3 MP, TOF 3D, f/1.4, (depth)",,"41, 78, 79 SA/NSA",HDR,"Glass front, ceramic back, ceramic frame",Yes,,,,Meizu 17 Pro,Nano-SIM + Nano-SIM,Meizu,,"Super AMOLED, 120Hz, HDR10+, 700 nits (typ)",,GSM / CDMA / HSPA / LTE / 5G,"6.6 inches, 106.9 cm2(~86.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m17-pro1.jpg,219 g (7.72 oz),,"Mint, Black, White",,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.1, A2DP, LE","5-LED dual-tone flash, Auto-HDR, panorama",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),No,"Yes, with stereo speakers",Li-Po 4500 mAh,"20 MP, f/2.2, (wide), 0.8µm",
CDMA 800 & TD-SCDMA,"GPS (L1+L5), GLONASS, BDS","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4µm, PDAF8 MP, f/2.2, 16mm, 118˚ (ultrawide), 1/4.0"", 1.12µm5 MP, f/1.9, (macro)",,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,"4K@30/60fps, 1080p; gyro-EIS","30W wired, QC3, 45% in 30 min",1080p@30fps,UFS 3.1,,"Wi-Fi 802.11 а/b/g/n/ac/6, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),"Android 10, Flyme 8.1",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2020, May 08",,"128GB 8GB RAM, 256GB 8GB RAM",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Adreno 650,"Available. Released 2020, May 11",No,About 530 EUR,,,"41, 78, 79 SA/NSA",HDR,,Yes,,,,Meizu 17,Nano-SIM + Nano-SIM,Meizu,,"Super AMOLED, 120Hz, HDR10+, 700 nits (typ)",,GSM / CDMA / HSPA / LTE / 5G,"6.6 inches, 106.9 cm2(~86.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m17.jpg,199 g (7.02 oz),,"Green, Gray, Aurora White",,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.1, A2DP, LE","5-LED dual-tone flash, Auto-HDR, panorama",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),No,"Yes, with stereo speakers",Li-Po 4500 mAh,"20 MP, f/2.2, (wide), 0.8µm",
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS",,,"1, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41",,4K@30/60fps,18W wired,1080p@30fps,UFS 3.0,,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"Android 9.0 (Pie), Flyme 8",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2019, October",,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Qualcomm SM8150 Snapdragon 855 (7 nm),Adreno 640,"Available. Released 2019, October",Yes,About 250 EUR,"12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4µm, PDAF8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm, PDAF5 MP, f/1.9, 23mm (wide), 1/5.0"", 1.12µm, PDAF",,,HDR,,No,,,,Meizu 16T,Nano-SIM + Nano-SIM,Meizu,,"Super AMOLED, 430 nits (typ)",,GSM / CDMA / HSPA / LTE,"6.5 inches, 106.3 cm2(~85.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-16t.jpg,183 g (6.46 oz),,"Orange, Blue, Green",,"1080 x 2232 pixels, 18.5:9 ratio (~382 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE (6CA) Cat20 2000/150 Mbps","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","LED flash, HDR, panorama",159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in),No,"Yes, with stereo speakers","Li-Po 4500 mAh, non-removable","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",
CDMA 800,"GPS, GLONASS, BDS",,,"1, 2, 3, 5, 7, 8, 20, 40 - Global",,1080p@30fps,,1080p@30fps,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1900 / 2100 - Global,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),"Android 9.0 (Pie), Flyme 8",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2019, September",,"32GB 2GB RAM, 32GB 3GB RAM",Mediatek MT6757T Helio P25 (16 nm),Mali-T880MP2,"Available. Released 2019, October",Yes,About 180 EUR,"13 MP, f/2.0, (wide), PDAF2 MP, f/2.22 MP, f/2.2",,,HDR,,No,,,"1, 2, 3, 4, 5, 7, 8, 28, 40 - LATAM",Meizu M10,Nano-SIM + Nano-SIM,Meizu,,"IPS LCD, 450 nits (typ)",,GSM / CDMA / HSPA / LTE,"6.5 inches, 102.0 cm2(~81.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m10.jpg,184 g (6.49 oz),,"Phantom Black, Purplish Red, Sea Blue",,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"HSPA, LTE","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,"4.2, A2DP, LE","LED flash, HDR, panorama",164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in),No,Yes,"Li-Po 4000 mAh, non-removable","8 MP, f/2.0",
CDMA 800 & TD-SCDMA,"GPS (L1+L5), GLONASS, BDS, GALILEO",,,"1, 3, 5, 8, 34, 38, 39, 40, 41",,"4K@30/60fps, 1080p@30fps (gyro-EIS)",24W wired,1080p@30fps,UFS 3.0,,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"Android 9.0 (Pie), Flyme 8",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2019, August",,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Qualcomm SM8150 Snapdragon 855+ (7 nm),Adreno 640 (700 MHz),"Available. Released 2019, August",No,About 340 EUR,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS20MP, f/2.6, (telephoto), 1/2.8"", 1.0µm, PDAF16 MP, f/2.2, 16mm (ultrawide), 1/3.6"", 1.0µm",,,HDR,,Yes,,,,Meizu 16s Pro,Nano-SIM + Nano-SIM,Meizu,,Super AMOLED,,GSM / CDMA / HSPA / LTE,"6.2 inches, 95.8 cm2(~85.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-16s-pro.jpg,166 g (5.86 oz),,"Twilight Forest, Dream Unicorn, Black Mirror, White story",,"1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE (5CA) Cat18 1200/150 Mbps","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","Six-LED dual-tone flash, Auto-HDR, panorama",151.9 x 73.4 x 7.7 mm (5.98 x 2.89 x 0.30 in),No,Yes,"Li-Po 3600 mAh, non-removable","20MP, f/2.2",
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS",,,"1, 3, 5, 8, 34, 38, 39, 40, 41",,"4K@30fps, 1080p@30fps (gyro-EIS)",24W wired,1080p@30fps,,,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 2100,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"Android 9.0 (Pie), Flyme",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2019, May",,"64GB 6GB RAM, 128GB 6GB RAM",Qualcomm SDM675 Snapdragon 675 (11 nm),Adreno 612,"Available. Released 2019, June",Yes,About 220 EUR,"48 MP, f/1.7, 13mm (ultrawide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.25 MP, f/1.9, (depth)",,,HDR,,No,,,,Meizu 16Xs,Nano-SIM + Nano-SIM,Meizu,,Super AMOLED,,GSM / CDMA / HSPA / LTE,"6.2 inches, 95.8 cm2(~84.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-16xs.jpg,165 g (5.82 oz),,"Carbon Black, Pearl White, Phantom Blue",,"1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)",,"HSPA, LTE","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","LED flash, HDR, panorama",152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in),No,Yes,"Li-Po 4000 mAh, non-removable","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",
CDMA 800 & TD-SCDMA,"GPS, BDS",,,"1, 2, 3, 4, 5, 7, 8, 20, 40",,"4K@30fps, 1080p@30fps (gyro-EIS)",24W wired,1080p@30fps,UFS 2.1,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS20MP, f/2.6, (telephoto), PDAF","Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"Android 9.0 (Pie), Flyme 7.3",USB Type-C 2.0,,GSM 850 / 900 / 1800 / 1900,,"2019, April",,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Qualcomm SM8150 Snapdragon 855 (7 nm),Adreno 640,"Available. Released 2019, April",No,About 420 EUR,,,,HDR,,Yes,,,,Meizu 16s,Nano-SIM + Nano-SIM,Meizu,,AMOLED,,GSM / CDMA / HSPA / LTE,"6.2 inches, 97.2 cm2(~87.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-16s.jpg,165 g (5.82 oz),,"Carbon Black, Pearl White, Phantom Blue",,"1080 x 2232 pixels, 18.5:9 ratio (~400 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE (5CA) Cat18 1200/150 Mbps","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.0, A2DP, LE","Six-LED dual-tone flash, Auto-HDR, panorama",151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in),No,Yes,"Li-Po 3600 mAh, non-removable","20MP, f/2.2",
