,CPU,Features,4G bands,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Games,Price,3.5mm jack,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,Sensors,Java
,Octa-core 2.2 GHz Cortex-A53,"LED flash, HDR, panorama","3, 5, 40",5 MP,,"Android 6.0 (Marshmallow), Amigo 3.2",Yes,"4.0, A2DP",,,Yes,Dual SIM,"13 MP, AF",183 g (6.46 oz),Mediatek MT6595,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",No,"2016, October. Released 2016, October",,GSM / HSPA / LTE,,QMobile,,PowerVR G6200,https://fdn2.gsmarena.com/vv/bigpic/QMobile_J7.jpg,"5.5 inches, 83.4 cm2(~70.5% screen-to-body ratio)",QMobile Noir J7,,Gold,IPS LCD,,,154 x 76.8 x 8.8 mm (6.06 x 3.02 x 0.35 in),32GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 1900 / 2100,,,1080p@30fps,"Li-Ion 3100 mAh, non-removable","Accelerometer, proximity, compass",
,Octa-core 1.3 GHz Cortex-A53,"LED flash, panorama, HDR","1, 3, 7, 20, 38, 39, 40, 41","8 MP, f/2.2",,"Android 6.0 (Marshmallow), Amigo 3.2",Yes,"4.0, A2DP",,,Yes,Nano-SIM + Micro-SIM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",166 g (5.86 oz),Mediatek MT6753 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,microSDXC (uses shared SIM slot),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2016, September. Released 2016, September",,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass 3,Mali-T720MP3,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_Z12_PRO.jpg,"5.5 inches, 83.4 cm2(~71.4% screen-to-body ratio)",QMobile Noir Z12 Pro,,"Mocha Gold, Latte Gold",IPS LCD,,,154.5 x 75.6 x 8.2 mm (6.08 x 2.98 x 0.32 in),32GB 3GB RAM,USB Type-C 2.0,,GPS,FM radio,HSDPA 900 / 1900 / 2100,,Z12 PRO,1080p@30fps,"Li-Po 3150 mAh, non-removable","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
eMMC 5.1,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"LED flash, panorama, HDR","1, 3, 7, 20, 38, 39, 40, 41",8 MP,Up to 558 h (3G),"Android 6.0.1 (Marshmallow), Amigo 3.2",Yes,"4.0, A2DP",,,Yes,Nano-SIM + Micro-SIM,"13 MP, f/2.0, PDAF",170 g (6.00 oz),Mediatek MT6755 Helio P10 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Up to 38 h 30 min (3G),microSDXC (uses shared SIM slot),"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",No,"2016, September. Released 2016, September",,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass,Mali-T860MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_Z14.jpg,"5.5 inches, 83.4 cm2(~72.4% screen-to-body ratio)",QMobile Noir Z14,,"Gold, Silver, Rose Gold",IPS LCD,,,153 x 75.3 x 7.6 mm (6.02 x 2.96 x 0.30 in),32GB 4GB RAM,"USB Type-C 2.0, OTG",,GPS,FM radio,HSDPA 900 / 1900 / 2100,,Z14,1080p@30fps,"Li-Po 3130 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
,Quad-core 1.0 GHz Cortex-A53,LED flash,3,5 MP,Up to 666 h (2G) / Up to 571 h (3G),Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,Yes,Dual SIM (Micro-SIM),"8 MP, AF",157.8 g (5.57 oz),Mediatek MT6735P (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 900 / 1800 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 17 h (2G) / Up to 7 h (3G),microSDHC (dedicated slot),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,"2016, August. Released 2016, August",,GSM / HSPA / LTE,,QMobile,Asahi Dragontrail Glass,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_LT680.jpg,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",QMobile Noir LT680,,"Black, Gold",IPS LCD,,,145 x 71.5 x 9.2 mm (5.71 x 2.81 x 0.36 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 2100,,,1080p@30fps,"Li-Po 4000 mAh, removable","Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A53,"LED flash, panorama, HDR","1, 3, 7, 20, 38, 39, 40, 41","5 MP, f/2.2",Up to 240 h (2G) / Up to 267 h (3G),"Android 6.0 (Marshmallow), Amigo 3.1",Yes,"2.0, A2DP",,,Yes,Dual SIM,"13 MP, f/2.2, PDAF",-,Mediatek MT6735 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 28 h (2G) / Up to 11 h (3G),microSDHC (dedicated slot),"HSPA, LTE",No,"2016, July. Released 2016, July",,GSM / HSPA / LTE,,QMobile,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_LT700_PRO.jpg,"5.0 inches, 68.9 cm2(~67.3% screen-to-body ratio)",QMobile Noir LT700 Pro,,"Pearl White, Grey",IPS LCD,,,145.3 x 70.5 x 8.5 mm (5.72 x 2.78 x 0.33 in),16GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 1900 / 2100,,"LT700 PRO, LT700",1080p@30fps,"Li-Po 2400 mAh, removable","Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama, HDR",,"8 MP, f/2.0",Up to 430 h (2G) / Up to 410 h (3G),Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,Yes,Dual SIM,"8 MP, f/2.0, 1/4.0"", AF",150 g (5.29 oz),Mediatek MT6580 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 12 h (2G) / Up to 10 h (3G),microSDXC,HSPA 21.1/5.76 Mbps,No,"2016, June. Released 2016, June",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_S4.jpg,"5.0 inches, 68.9 cm2(~65.8% screen-to-body ratio)",QMobile Noir S4,,Gold,IPS LCD,,,144.4 x 72.5 x 8.7 mm (5.69 x 2.85 x 0.34 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 2100,,,1080p@30fps,"Li-Ion 3000 mAh, removable","Accelerometer, proximity",
,Quad-core 1.3 GHz Cortex-A53,"LED flash, panorama, HDR","1, 3, 7, 20, 38, 39, 40, 41","5 MP, f/2.2",Up to 240 h (2G) / Up to 267 h (3G),"Android 5.1 (Lollipop), Amigo 3.1",Yes,"2.0, A2DP",,,Yes,Dual SIM,"8 MP, f/2.2, PDAF",-,Mediatek MT6735 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 28 h (2G) / Up to 11 h (3G),microSDHC,"HSPA, LTE",No,"2016, June. Released 2016, June",,GSM / HSPA / LTE,,QMobile,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_LT750.jpg,"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)",QMobile Noir LT750,,White/Gold,IPS LCD,,,144.2 x 71.5 x 8.1 mm (5.68 x 2.81 x 0.32 in),16GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 1900 / 2100,,,1080p@30fps,"Li-Po 2400 mAh, removable","Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama, HDR",,2 MP,Up to 336 h (3G),Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6580 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 23 h (2G) / Up to 20 h (3G),microSDXC,HSPA 21.1/5.76 Mbps,No,"2016, May. Released 2016, May",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_i6_Metal_HD.jpg,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)",QMobile Noir i6 Metal HD,,"Gold, Rose Gold, Silver Black",IPS LCD,,,145 x 73.1 x 9.7 mm (5.71 x 2.88 x 0.38 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,i6 Metal HD,1080p@30fps,"Li-Ion 2000 mAh, removable","Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A53,"LED flash, panorama, HDR","1, 3, 20",5 MP,Up to 240 h (2G) / Up to 267 h (3G),Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","13 MP, AF",-,Mediatek MT6735 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 28 h (2G) / Up to 11 h (3G),microSDXC,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2016, May. Released 2016, May",,GSM / HSPA / LTE,,QMobile,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_A6.jpg,"5.0 inches, 68.9 cm2(~68.2% screen-to-body ratio)",QMobile Noir A6,,"Black, White",IPS LCD,,,143 x 70.7 x 8.6 mm (5.63 x 2.78 x 0.34 in),32GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, removable","Fingerprint (front-mounted), accelerometer, proximity, compass",
,Octa-core 1.4 GHz Cortex-A7,"Dual-LED dual-tone flash, HDR, panorama",,"13 MP, f/2.2, AF",Up to 430 h (2G) / Up to 410 h (3G),Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,Yes,Dual SIM,"13 MP, f/2.2, AF",133 g (4.69 oz),Mediatek MT6592M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 900 / 1800 - SIM 1 & SIM 2,LED flash,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 12 h (2G) / Up to 10 h (3G),microSDHC (dedicated slot),HSPA 21.1/11.5 Mbps,No,"2016, March. Released 2016, March",,GSM / HSPA,,QMobile,Asahi Dragontrail Glass,Mali-450,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-z9-plus.jpg,"5.0 inches, 68.9 cm2(~69.2% screen-to-body ratio)",QMobile Noir S9,,"White, Black",IPS LCD,,,143.5 x 69.4 x 8 mm (5.65 x 2.73 x 0.31 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 2100,,,1080p@30fps,"Li-Po 3000 mAh, non-removable","Fingerprint (rear-mounted), accelerometer, proximity, compass",
,Octa-core 1.3 GHz Cortex-A53,"LED flash, HDR, panorama","1, 3, 7, 20","5 MP, f/2.8",Up to 315 h (2G) / Up to 252 h (3G),"Android 5.1.1 (Lollipop), Amigo 3.1",Yes,"4.0, A2DP",,,Yes,Dual SIM,"13 MP, f/2.0, AF",158 g (5.57 oz),Mediatek MT6753 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Up to 21 h (2G) / Up to 9 h (3G),microSDXC (dedicated slot),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"2016, March. Released 2016, March",,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass 3,Mali-T720MP3,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-z9-plus1.jpg,"5.5 inches, 83.4 cm2(~70.4% screen-to-body ratio)",QMobile Noir Z9 Plus,,"White, Gold, Dark Blue",AMOLED,,,155 x 76.4 x 7.2 mm (6.10 x 3.01 x 0.28 in),16GB 2GB RAM,USB Type-C 2.0,,GPS,FM radio,HSDPA 900 / 1900 / 2100,,,1080p@30fps,"Li-Ion 3150 mAh, removable","Accelerometer, proximity, compass",
,Octa-core 1.3 GHz Cortex-A53,LED flash,LTE,5 MP,,"Android 5.1.1 (Lollipop), Amigo OS 3.1",Yes,"4.0, A2DP",,,Yes,Nano-SIM + Micro-SIM,"13 MP, f/2.0, AF",147 g (5.19 oz),Mediatek MT6753 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC (uses shared SIM slot),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,"2016, February. Released 2016, February",,GSM / HSPA / LTE,,QMobile,,Mali-T720MP3,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-z12.jpg,"5.5 inches, 83.4 cm2(~73.6% screen-to-body ratio)",QMobile Noir Z12,,Gold,AMOLED,,Yes,151.9 x 74.6 x 6.9 mm (5.98 x 2.94 x 0.27 in),32GB 3GB RAM,USB Type-C 2.0,Yes,GPS,FM radio,HSDPA,,Z12,1080p@30fps,"Li-Ion 3150 mAh, non-removable","Accelerometer, proximity",
