,Single_1,OS,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,128GB 8GB RAM,Display,Talk time,32GB 2GB RAM,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Dual,Single,2G bands,Resolution,128GB 4GB RAM,Announced,Technology,_1,SAR,GPU,Battery (new),Model Image,Size,Model Name,256GB 6GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,SAR EU,_2,SIM,Triple,Infrared port,Battery (old),Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,Games,Quad,Weight,WLAN,Video,Speed,NFC,Build,_5,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,3G bands,Video_1,_4,Sensors
,,"Android 13, Realme UI 4.0",Yes,,Mediatek Dimensity 6100+ (6 nm),,"Available. Released 2023, August 30",Panorama,"₹ 12,899",,,,,,,,,Unspecified,"33W wired, 50% in 29 min","1, 3, 5, 8, 28, 40, 41",,,,"₹ 12,899",,"64 MP, f/1.8, 25mm (wide), 1/2.0"", 0.7µm, PDAF2 MP, f/2.4, (depth)","8 MP, f/2.1, 26mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,"2023, August 23",GSM / HSPA / LTE / 5G,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-11x-5g.jpg,"6.72 inches, 109.0 cm2(~86.6% screen-to-body ratio)",Realme 11x,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GALILEO, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,165.7 x 76 x 7.9 mm (6.52 x 2.99 x 0.31 in),,"128GB 6GB RAM, 128GB 8GB RAM",USB Type-C 2.0,RMX3785,,Yes,"5.2, A2DP, LE",,,190 g (6.70 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,"HSPA, LTE, 5G",No,"Glass front, aluminum frame, plastic back",,Realme,,,,"Midnight Black, Purple Dawn","IPS LCD, 120Hz, 550 nits (typ), 680 nits (HBM)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
UFS 2.2,,"Android 12, Realme UI 3.0",Yes,,Mediatek Helio G99 (6 nm),,"Available. Released 2023, July 31","HDR, panorama",,,,,,,,,,No,"67W wired, 50% in 17 min",LTE,,,,About 280 EUR,,"108 MP, f/1.8, 25mm (wide), 1/1.67"", 0.64µm, PDAF2 MP, f/2.4, (depth)","16 MP, f/2.5, 27mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",,"2023, July 31",GSM / HSPA / LTE,24-bit/192kHz Hi-Res audio,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-11-4g-.jpg,"6.4 inches, 98.9 cm2(~84.4% screen-to-body ratio)",Realme 11 4G,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass 5,,159.9 x 73.3 x 8 mm (6.30 x 2.89 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG",RMX3636,,Yes,"5.2, A2DP, LE, aptX HD, aptX Adaptive",,,178 g (6.28 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",Unspecified,"Glass front (Gorilla Glass 5), plastic frame, plastic back",,Realme,,,,"Black, Gold","Super AMOLED, 90Hz, 1000 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
HSDPA 850 / 900 / 2100 - India,,"Android 13, Realme UI 4.0",Yes,,Mediatek Dimensity 6100+ (6 nm),,"Available. Released 2023, July 31","Panorama, HDR","₹ 15,999",,,,,€ 224.99,,,,No,"67W wired, 0-50% in 17 min","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International",,,,"€ 224.99 / $ 162.66 / ₹ 15,999",UFS 2.2,"108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF2 MP, f/2.4, (depth)","16 MP, f/2.5, 23mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,"2023, July 31",GSM / HSPA / LTE / 5G,"1, 3, 5, 8, 28, 40, 41 - India",,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-11-5g-tw.jpg,"6.72 inches, 109.0 cm2(~86.6% screen-to-body ratio)",Realme 11,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International","GPS, GALILEO, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA - India",Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,165.7 x 76 x 8.1 mm (6.52 x 2.99 x 0.32 in),,"128GB 8GB RAM, 256GB 8GB RAM",USB Type-C 2.0,RMX3780,,Yes,"5.2, A2DP, LE",,,190 g (6.70 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,"HSPA, LTE, 5G",Yes (market/region dependent),"Glass front, aluminum frame, plastic back",,Realme,,,,"Midnight Black (Glory Black), Sunrise Gold (Glory Gold)","IPS LCD, 120Hz, 550 nits (typ), 680 nits (HBM)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International,1080p@30fps,24-bit/192kHz Hi-Res audio,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Asia","5 MP, f/2.2, 28mm (wide), 1/5.0"", 1.12µm","Android 13, Realme UI T",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2023, August",HDR,,,,,,,,,,Unspecified,"33W wired, 0-50% in 28 min","1, 3, 5, 8, 38, 40, 41 - Africa, India",,,"₹ 8,851","€ 103.89 / ₹ 8,851",,,"50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF0.08 MP, f/3.0 ,(auxiliary lens)",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",€ 103.89,"2023, July 24",GSM / HSPA / LTE,еMMC 5.1,1.18 W/kg (head)     0.78 W/kg (body),Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-c51.jpg,"6.74 inches, 109.7 cm2(~85.5% screen-to-body ratio)",Realme C51,,,,,"GPS, GLONASS, GALILEO",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,167.2 x 76.7 x 8 mm (6.58 x 3.02 x 0.31 in),,"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 256GB 6GB RAM","USB Type-C 2.0, OTG",RMX3830,,Yes,"5.0, A2DP, LE",,,186 g (6.56 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE","Yes, 360˚ (market/region dependent)","Glass front, plastic frame, plastic back",,Realme,,,,"Mint Green, Carbon Black","IPS LCD, 90Hz, 560 nits (peak)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
,,"Android 13, Realme UI",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2023, July 26",HDR,,,,,,,,,,Unspecified,18W wired,"1, 3, 5, 8, 38, 40, 41",,,,About 110 EUR,,"108 MP, (wide), PDAF0.3 MP, (depth)","8 MP, (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~390 ppi density)",,"2023, July 19",GSM / HSPA / LTE,,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-c53-india.jpg,"6.74 inches, 109.7 cm2(~85.5% screen-to-body ratio)",Realme C53 (India),,,,,"GPS, GLONASS, GALILEO",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,167.2 x 76.7 x 8 mm (6.58 x 3.02 x 0.31 in),,"64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",USB Type-C 2.0,RMX3762,,Yes,"5.0, A2DP, LE",,,186 g (6.56 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Gold, Black","IPS LCD, 90Hz, 560 nits (peak)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
24-bit/192kHz Hi-Res audio,"5 MP, f/2.2, (wide)","Android 13 or Android 14, Realme UI 4",No,,Mediatek Helio G99 (6 nm),,"Available. Released 2023, August 01","HDR, panorama",,,,,,,,,,No,33W wiredReverse wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,About 220 EUR,,,"8 MP, f/2.0, (wide)",GSM 850 / 900 / 1800 / 1900,"1200 x 2000 pixels, 5:3 ratio (~203 ppi density)",,"2023, July 19",GSM / HSPA / LTE,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-pad2.jpg,"11.5 inches, 376.4 cm2(~83.3% screen-to-body ratio)",Realme Pad 2,,,,,"GPS, GALILEO, GLONASS, BDS - cellular model only",,8360 mAh,,"HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM (cellular model only),,,,microSDXC (uses shared SIM slot),,,268.2 x 168.5 x 7.2 mm (10.56 x 6.63 x 0.28 in),,"128GB 6GB RAM, 256GB 8GB RAM",USB Type-C,,,"Yes, with stereo speakers (4 speakers)","5.2, A2DP, LE",,,518 g (1.14 lb),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE - cellular model only",No,,,Realme,,,,"Gray, Green","IPS LCD, 1B colors, 120Hz, 450 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, compass"
Illuminated RGB (on the back),,"Android 13, upgradable to Android 14, Realme UI 5.0",No,-26.9 LUFS (Good),Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),,"Available. Released 2023, July 08","HDR, panorama",,974 nits max brightness (measured),,,,,,,,No,"240W wired, PD, 50% in 4 min, 100% in 10 min",LTE,Photo/Video,,,About 600 EUR,,,"16 MP, f/2.5, 25mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",,"2023, February 28",GSM / HSPA / LTE / 5G,UFS 3.1,,Adreno 730,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt-neo5.jpg,"6.74 inches, 109.2 cm2(~87.9% screen-to-body ratio)",Realme GT3,,,,SA/NSA,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,4600 mAh,,"Dual-LED dual-tone flash, HDR, panorama",Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/3.3, 20mm (microscope)",Yes,Endurance rating 117h,No,,,163.9 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),,"128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",USB Type-C 2.0,RMX3709,,"Yes, with stereo speakers","5.3, A2DP, LE, aptX HD",,,199 g (7.02 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4K@30/60fps, 1080p@30/60fps, gyro-EIS","HSPA, LTE, 5G",Yes (dual side),"Glass front, plastic frame, glass back",,Realme,,,,"Pulse White, Booster Black","AMOLED, 1B colors, 144Hz, HDR10+, 500 nits (typ), 1100 nits (HBM), 1400 nits (peak)","AnTuTu: 1074427 (v9)GeekBench: 3898 (v5.1), 3980 (v6)GFXBench: 59fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1080p@30fps, gyro-EIS",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
24-bit/192kHz Hi-Res audio,,"Android 13, Realme UI 4.0",No,,Mediatek Dimensity 7050 (6 nm),,"Available. Released 2023, July 15",Panorama,,,,,,,,,,No,67W wired,"1, 3, 5, 8, 28, 40, 41",,,,About 270 EUR,,"100 MP, f/1.8, 26mm (wide), PDAF, OIS2 MP, f/2.4, (depth)","16 MP, f/2.5, 25mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,"2023, July 06",GSM / HSPA / LTE / 5G,,,Mali-G68 MC4,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo60-pro-5g.jpg,"6.7 inches, 108.0 cm2(~90.5% screen-to-body ratio)",Realme Narzo 60 Pro,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,No,Double-reinforced glass,,161.6 x 73.9 x 8.2 mm or 8.7 mm,,"128GB 8GB RAM, 256GB 12GB RAM, 1TB 12GB RAM",USB Type-C 2.0,,,"Yes, with stereo speakers","5.2, A2DP, LE",,,185 g or 191 g (6.53 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120fps, gyro-EIS","HSPA, LTE, 5G",Unspecified,"Glass front, eco leather or plastic back, plastic frame",,Realme,,,,"Mars Orange, Cosmic Black","AMOLED, 1B colors, HDR10+, 120Hz, 950 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
24-bit/192kHz Hi-Res audio,,"Android 13, Realme UI 4.0",Yes,,Mediatek Dimensity 6020 (7 nm),,"Available. Released 2023, July 15","Panorama, HDR","₹ 19,989",,,,,,,,,No,"33W wired, 50% in 29 min","1, 3, 5, 8, 28, 40, 41",,,,"₹ 19,989",,"64 MP, f/1.8, 25mm (wide), 1/2.0"", 0.7µm, PDAF2 MP, f/2.4, (depth)","16 MP, f/2.5, 26mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,"2023, July 06",GSM / HSPA / LTE / 5G,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo60-5g.jpg,"6.43 inches, 99.8 cm2(~85.7% screen-to-body ratio)",Realme Narzo 60,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass 5,,159.8 x 72.9 x 7.9 mm (6.29 x 2.87 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM",USB Type-C 2.0,RMX3750,,Yes,Yes,,,182 g (6.42 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",Unspecified,"Glass front (Gorilla Glass 5), eco leather or plastic back, plastic frame",,Realme,,,,"Mars Orange, Cosmic Black","Super AMOLED, 90Hz",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
,,"Android 13, Realme UI T",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2023, May 31",HDR,,,,,,€ 119.99,,,,Unspecified,"33W wired, 50% in 31 min","1, 3, 5, 8, 38, 40, 41",,,,€ 119.99 / $ 126.20,,"50 MP, f/1.8, (wide), PDAF0.3 MP, (depth)","8 MP, f/2.0, (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~390 ppi density)",,"2023, May 31",GSM / HSPA / LTE,,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-c53.jpg,"6.74 inches, 109.7 cm2(~85.5% screen-to-body ratio)",Realme C53,,,,,"GPS, GLONASS, GALILEO",€ 152.02,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,167.3 x 76.7 x 7.5 mm (6.59 x 3.02 x 0.30 in),,"128GB 6GB RAM, 256GB 8GB RAM",USB Type-C 2.0,RMX3760,,Yes,"5.0, A2DP, LE",,,182 g (6.42 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Champion Gold, Mighty Black","IPS LCD, 90Hz, 560 nits (peak)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
,,"Android 13, Realme UI T",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2023, May 22",HDR,,,,,,,,,,Unspecified,"33W wired, 50% in 31 min","1, 3, 5, 8, 38, 40, 41",,,,About 100 EUR,,"50 MP, f/1.8, (wide), PDAF0.3 MP, (depth)","8 MP, f/2.0, (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~390 ppi density)",,"2023, May 18",GSM / HSPA / LTE,,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-n53.jpg,"6.74 inches, 109.7 cm2(~85.5% screen-to-body ratio)",Realme Narzo N53,,,,,"GPS, GLONASS, GALILEO",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,167.3 x 76.7 x 7.5 mm (6.59 x 3.02 x 0.30 in),,"64GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",USB Type-C 2.0,RMX3761,,Yes,"5.0, A2DP, LE",,,182 g (6.42 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Black, Gold","IPS LCD, 90Hz, 450 nits (peak)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 13, up to 2 major Android upgrades, Realme UI 5.0",No,-26.2 LUFS (Good),Mediatek Dimensity 7050 (6 nm),,"Available. Released 2023, May 15",Panorama,,793 nits max brightness (measured),,,,"₹ 22,799",,,,No,100W wired,"1, 3, 5, 8, 28, 38, 40, 41 - India",Photo/Video,,,"€ 399.90 / ₹ 21,599","1, 5, 8, 28, 41, 77, 78 SA/NSA - China",,"32 MP, f/2.5, 22mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,"2023, May 10",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,CDMA2000 1x,,Mali-G68 MC4,,https://fdn2.gsmarena.com/vv/bigpic/realme-11-pro-plus.jpg,"6.7 inches, 108.0 cm2(~90.5% screen-to-body ratio)",Realme 11 Pro+,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA - International","GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,"1, 3, 5, 7, 8, 28, 34, 38, 39, 40, 41 - China",Nano-SIM + Nano-SIM,"200 MP, f/1.7, 23mm (wide), 1/1.4"", 0.56µm, PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide)2 MP, f/2.4, (macro)",,Endurance rating 112h,No,,,161.6 x 73.9 x 8.2 mm or 8.7 mm,,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",USB Type-C 2.0,"RMX3740, RMX3741",€ 399.90,"Yes, with stereo speakers","5.2, A2DP, LE, aptX HD",,,183 g or 189 g (6.46 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","HSPA, LTE, 5G",Yes,"Glass front, leather or plastic back, plastic frame",,Realme,,"₹ 21,599",,"Astral Black, Sunrise Beige, Oasis Green","AMOLED, 1B colors, HDR10+, 120Hz, 950 nits (peak)","AnTuTu: 558996 (v9), 605783 (v10)GeekBench: 2207 (v5.5), 2277 (v6.0)GFXBench: 22fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 2100,1080p@30fps,24-bit/192kHz Hi-Res audio,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 13, up to 2 major Android upgrades, Realme UI 5.0",No,-26.5 LUFS (Good),Mediatek Dimensity 7050 (6 nm),,"Available. Released 2023, May 15",Panorama,"₹ 17,499",790 nits max brightness (measured),,,,"₹ 19,299",,,,No,67W wired,"1, 3, 5, 7, 8, 28, 40, 41 - International",Photo/Video,,,"₹ 17,499","1, 5, 8, 28, 41, 77, 78 SA/NSA - China","100 MP, f/1.8, 26mm (wide), PDAF, OIS2 MP, f/2.4, (depth)","16 MP, f/2.5, 25mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,"2023, May 10",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,CDMA2000 1x,,Mali-G68 MC4,Active use score 13:14h,https://fdn2.gsmarena.com/vv/bigpic/realme-11-pro.jpg,"6.7 inches, 108.0 cm2(~90.4% screen-to-body ratio)",Realme 11 Pro,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA - International","GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,"1, 3, 5, 7, 8, 28, 34, 38, 39, 40, 41 - China",Nano-SIM + Nano-SIM,,,Endurance rating 112h,No,,,161.7 x 73.9 x 8.2 mm or 8.8 mm,,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",USB Type-C 2.0,RMX3771,,"Yes, with stereo speakers","5.2, A2DP, LE, aptX HD",,,183 g or 189 g (6.46 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","HSPA, LTE, 5G",Yes (market/region dependent),"Glass front, leather or plastic back, plastic frame",,Realme,,"₹ 25,999",,"Astral Black, Sunrise Beige, Oasis Green","AMOLED, 1B colors, HDR10+, 120Hz, 950 nits (peak)","AnTuTu: 545426 (v9), 585966 (v10)GeekBench: 2319 (v5.5), 2376 (v6.0)GFXBench: 22fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 2100,1080p@30fps,24-bit/192kHz Hi-Res audio,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 13, Realme UI 4.0",Yes,,Mediatek Dimensity 6020 (7 nm),,"Available. Released 2023, June 01","Panorama, HDR",,,,,,,,,,No,"33W wired, 50% in 29 min","1, 3, 5, 7, 8, 28, 34, 38, 39, 40, 41",,,,About 260 EUR,24-bit/192kHz Hi-Res audio,"64 MP, f/1.8, 25mm (wide), 1/2.0"", 0.7µm, PDAF2 MP, f/2.4, (depth)","8 MP, f/2.1, 24mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,"2023, May 10",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,CDMA2000 1x,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-11.jpg,"6.43 inches, 99.8 cm2(~85.7% screen-to-body ratio)",Realme 11 (China),,,,"1, 5, 8, 28, 41, 77, 78 SA/NSA","GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,UFS 2.2,Nano-SIM + Nano-SIM,,,,microSDXC,,,159.8 x 72.9 x 7.9 mm (6.29 x 2.87 x 0.31 in),,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,,,Yes,Yes,,,182 g (6.42 oz),Yes,1080p@30fps,"HSPA, LTE, 5G",Yes,,,Realme,,,,"Black, Orange","Super AMOLED, 90Hz, 1000 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, proximity, compass"
eMMC 5.1,,"Android 13, Realme UI 4.0",Yes,-31.8 LUFS (Below average),Mediatek MT6769H Helio G88 (12 nm),,"Available. Released 2023, April 13","HDR, panorama",,Contrast ratio: 1264:1 (nominal),,,,,,,,No,"33W wired, 50% in 29 min","1, 3, 5, 8, 38, 40, 41",,,,About 120 EUR,,"64 MP, f/1.8, (wide), 1/2.0"", 0.7µm, PDAF2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,"2023, April 12",GSM / HSPA / LTE,,,Mali-G52 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-n55.jpg,"6.72 inches, 109.0 cm2(~86.7% screen-to-body ratio)",Realme Narzo N55,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,Endurance rating 123h,microSDXC (dedicated slot),,,165.6 x 75.9 x 7.9 mm (6.52 x 2.99 x 0.31 in),,"64GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",USB Type-C 2.0,,,Yes,"5.2, A2DP, LE",,,189.5 g (6.70 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30/60fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Prime Black, Prime Blue","IPS LCD, 90Hz, 680 nits (peak)","AnTuTu: 257263 (v9)GeekBench: 1452 (v5.1), 1413 (v6)GFXBench: 9fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
