,Positioning,Single_1,4G bands,Java,Talk time,Video,Charging,_1,Video_1,WLAN,Messaging,SAR EU,GPRS,Phonebook,3G bands,CPU,OS,USB,Audio quality,2G bands,Battery (old),Announced,Performance,Internal,Chipset,GPU,Status,3.5mm jack,Price,Triple,Music play,5G bands,Features_1,Build,Games,NFC,_3,EDGE,_2,Model Name,SIM,Brand,Display,Type,Camera,Technology,Size,Model Image,Weight,Call records,Keyboard,Colors,Loudspeaker_1,Resolution,Protection,Speed,Sensors,Radio,Bluetooth,SAR,Features,Browser,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
ClearBlack display,"GPS, GLONASS, BDS",5 MP,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40",,Up to 31 h 20 min (2G) / Up to 23 h 40 min (3G),1080p@30fps,,eMMC 4.5,1080p@30fps,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,HSDPA 850 / 900 / 1700 / 1900 / 2100,Quad-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",microUSB 2.0,Noise -93.0dB / Crosstalk -94.4dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 74h,"2015, March. Released 2015, April",,8GB 1GB RAM,Qualcomm MSM8226 Snapdragon 400 (28 nm),Adreno 305,Discontinued,Yes,About 200 EUR,,,,,,,Yes,,,,Microsoft Lumia 640 XL LTE Dual SIM,"Dual SIM (Micro-SIM, dual stand-by)",Microsoft,"Contrast ratio: 1119:1 (nominal), 3.065 (sunlight)",IPS LCD,,GSM / HSPA / LTE,"5.7 inches, 88.9 cm2(~69.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-4g-ds.jpg,171 g (6.03 oz),,,"Matte cyan, Orange, Black, Matte white, Glossy white",Voice 72dB / Noise 67dB / Ring 73dB,"720 x 1280 pixels, 16:9 ratio (~259 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity, compass, sensor core",FM radio,"4.0, A2DP",,"Zeiss optics, LED flash",,157.9 x 81.5 x 9 mm (6.22 x 3.21 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 3000 mAh, removable","13 MP, f/2.0, 28mm (wide), 1/3.0"", AF",Up to 936 h (2G) / Up to 936 h (3G)
ClearBlack display,"GPS, GLONASS, BDS",5 MP,"1, 3, 7, 8, 20",,Up to 30 h 20 min (2G) / Up to 24 h (3G),1080p@30fps,,eMMC 4.5,1080p@30fps,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,HSDPA 850 / 900 / 2100,Quad-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",microUSB 2.0,Noise -93.0dB / Crosstalk -94.4dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 74h,"2015, March. Released 2015, April",,8GB 1GB RAM,Qualcomm MSM8226 Snapdragon 400 (28 nm),Adreno 305,Discontinued,Yes,About 200 EUR,,,,,,,Yes,,,,Microsoft Lumia 640 XL LTE,Micro-SIM,Microsoft,"Contrast ratio: 1119:1 (nominal), 3.065 (sunlight)",IPS LCD,,GSM / HSPA / LTE,"5.7 inches, 88.9 cm2(~69.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-4g.jpg,171 g (6.03 oz),,,"Matte cyan, Orange, Black, Matte white, Glossy white",Voice 72dB / Noise 67dB / Ring 73dB,"720 x 1280 pixels, 16:9 ratio (~259 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity, compass, sensor core",FM radio,"4.0, A2DP",,"Zeiss optics, LED flash",,157.9 x 81.5 x 9 mm (6.22 x 3.21 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 3000 mAh, removable","13 MP, f/2.0, 28mm (wide), 1/3.0"", AF",Up to 888 h (2G) / Up to 888 h (3G)
ClearBlack display,"GPS, GLONASS, BDS",5 MP,,,Up to 31 h 20 min (2G) / Up to 23 h 40 min (3G),1080p@30fps,,eMMC 4.5,1080p@30fps,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",microUSB 2.0,Noise -93.0dB / Crosstalk -94.4dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 74h,"2015, March. Released 2015, April",,8GB 1GB RAM,Qualcomm MSM8226 Snapdragon 400 (28 nm),Adreno 305,Discontinued,Yes,About 170 EUR,,,,,,,Yes,,,,Microsoft Lumia 640 XL Dual SIM,"Dual SIM (Micro-SIM, dual stand-by)",Microsoft,"Contrast ratio: 1119:1 (nominal), 3.065 (sunlight)",IPS LCD,Photo/Video,GSM / HSPA,"5.7 inches, 88.9 cm2(~69.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-3g-ds.jpg,171 g (6.03 oz),,,"Matte cyan, Orange, Black, Matte white, Glossy white",Voice 72dB / Noise 67dB / Ring 73dB,"720 x 1280 pixels, 16:9 ratio (~259 ppi density)",Corning Gorilla Glass 3,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity, compass, sensor core",FM radio,"4.0, A2DP",,"Zeiss optics, LED flash",,157.9 x 81.5 x 9 mm (6.22 x 3.21 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 3000 mAh, removable","13 MP, f/2.0, 28mm (wide), 1/3.0"", AF",Up to 936 h (2G) / Up to 936 h (3G)
ClearBlack display,"GPS, GLONASS, BDS",5 MP,,,Up to 31 h 20 min (2G) / Up to 23 h 40 min (3G),1080p@30fps,,eMMC 4.5,1080p@30fps,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",microUSB 2.0,Noise -93.0dB / Crosstalk -94.4dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 74h,"2015, March. Released 2015, April",,8GB 1GB RAM,Qualcomm MSM8226 Snapdragon 400 (28 nm),Adreno 305,Discontinued,Yes,About 170 EUR,,,,,,,Yes,,,,Microsoft Lumia 640 XL,Micro-SIM,Microsoft,"Contrast ratio: 1119:1 (nominal), 3.065 (sunlight)",IPS LCD,,GSM / HSPA,"5.7 inches, 88.9 cm2(~69.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-3g.jpg,171 g (6.03 oz),,,"Matte cyan, Orange, Black, Matte white, Glossy white",,"720 x 1280 pixels, 16:9 ratio (~259 ppi density)",Corning Gorilla Glass 3,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity, compass, sensor core",FM radio,"4.0, A2DP",,"Zeiss optics, LED flash",,157.9 x 81.5 x 9 mm (6.22 x 3.21 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 3000 mAh, removable","13 MP, f/2.0, 28mm (wide), 1/3.0"", AF",Up to 936 h (2G) / Up to 936 h (3G)
ClearBlack display,"GPS, GLONASS, BDS",1 MP,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40",,Up to 26 h 30 min (2G) / Up to 17 h 30 min (3G),1080p@30fps,,eMMC 4.5,720p,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,HSDPA 850 / 900 / 1700 / 1900 / 2100,Quad-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",microUSB 2.0,Noise -93.1dB / Crosstalk -93.2dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 76h,"2015, March. Released 2015, April",,8GB 1GB RAM,Qualcomm MSM8926 Snapdragon 400 (28 nm),Adreno 305,Discontinued,Yes,About 150 EUR,,,,,,,Yes,,,,Microsoft Lumia 640 LTE Dual SIM,"Dual SIM (Micro-SIM, dual stand-by)",Microsoft,"Contrast ratio: 1034 (nominal),  2.563 (sunlight)",IPS LCD,,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~67.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-4g-ds.jpg,145 g (5.11 oz),,,"Glossy cyan, Orange, White, Matte black",Voice 70dB / Noise 65dB / Ring 75dB,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity, compass",FM radio,"4.0, A2DP",,LED flash,,141.3 x 72.2 x 8.8 mm (5.56 x 2.84 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 2500 mAh, removable","8 MP, f/2.2, 28mm (wide), 1/4.0"", AF",Up to 864 h (2G) / Up to 864 h (3G)
HSDPA 850 / 1700(AWS) / 1900 / 2100 - T-Mobile,"GPS, GLONASS, BDS",1 MP,"1, 3, 7, 8, 20",,Up to 26 h 30 min (2G) / Up to 17 h 30 min (3G),1080p@30fps,,"1, 2, 4, 5, 7, 12, 17 - T-Mobile",720p,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,HSDPA 850 / 900 / 2100,Quad-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",microUSB 2.0,Noise -93.1dB / Crosstalk -93.2dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 76h,"2015, March. Released 2015, April",,8GB 1GB RAM,Qualcomm MSM8926 Snapdragon 400 (28 nm),Adreno 305,Discontinued,Yes,About 120 EUR,,,,,,,Yes,eMMC 4.5,,ClearBlack display,Microsoft Lumia 640 LTE,Micro-SIM,Microsoft,"Contrast ratio: 1034 (nominal),  2.563 (sunlight)",IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~67.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-4g.jpg,145 g (5.11 oz),,,"Glossy cyan, Orange, White, Matte black",Voice 70dB / Noise 65dB / Ring 75dB,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity, compass",FM radio,"4.0, A2DP",,LED flash,,141.3 x 72.2 x 8.8 mm (5.56 x 2.84 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 2500 mAh, removable","8 MP, f/2.2, 28mm (wide), 1/4.0"", AF",Up to 864 h (2G) / Up to 864 h (3G)
ClearBlack display,"GPS, GLONASS, BDS",1 MP,,,Up to 27 h 30 min (2G) / Up to 20 h 30 min (3G),1080p@30fps,,eMMC 4.5,720p,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",microUSB 2.0,Noise -93.1dB / Crosstalk -93.2dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 76h,"2015, March. Released 2015, April",,8GB 1GB RAM,Qualcomm MSM8926 Snapdragon 400 (28 nm),Adreno 305,Discontinued,Yes,About 170 EUR,,,,,,,No,,,,Microsoft Lumia 640 Dual SIM,"Dual SIM (Micro-SIM, dual stand-by)",Microsoft,"Contrast ratio: 1034 (nominal),  2.563 (sunlight)",IPS LCD,,GSM / HSPA,"5.0 inches, 68.9 cm2(~67.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-3g-ds.jpg,145 g (5.11 oz),,,"Glossy cyan, Orange, White, Matte black",Voice 70dB / Noise 65dB / Ring 75dB,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity, compass",FM radio,"4.0, A2DP",,LED flash,,141.3 x 72.2 x 8.8 mm (5.56 x 2.84 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 2500 mAh, removable","8 MP, f/2.2, 28mm (wide), 1/4.0"", AF",Up to 840 h (2G) / Up to 840 h (3G)
eMMC 4.5,"A-GPS, GLONASS",VGA,,,Up to 21 h (2G) / Up to 12 h (3G),480p@30fps,,,480p,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.2 GHz Cortex-A7,Microsoft Windows Phone 8.1,microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 60h,"2015, January. Released 2015, February",,8GB 1GB RAM,Qualcomm MSM8212 Snapdragon 200 (28 nm),Adreno 302,Discontinued,Yes,About 90 EUR,,Up to 61 h,,,,,No,,,,Microsoft Lumia 532 Dual SIM,"Dual SIM (Micro-SIM, dual stand-by)",Microsoft,,"IPS LCD,",Photo,GSM / HSPA,"4.0 inches, 45.5 cm2(~58.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-532.jpg,136.3 g (4.80 oz),,,"Black, White, Green, Orange",,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity","FM radio, RDS","4.0, A2DP",,,,118.9 x 65.5 x 11.6 mm (4.68 x 2.58 x 0.46 in),microSDXC (dedicated slot),Yes,"Li-Ion 1560 mAh, removable","5 MP, f/2.4, 28mm (wide), 1/4.0""",Up to 528 h (2G) / Up to 528 h (3G)
eMMC 4.5,"A-GPS, GLONASS",VGA,,,Up to 21 h (2G) / Up to 12 h (3G),480p@30fps,,,480p,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.2 GHz Cortex-A7,Microsoft Windows Phone 8.1,microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,Endurance rating 55h,"2015, January. Released 2015, February",,8GB 1GB RAM,Qualcomm MSM8212 Snapdragon 200 (28 nm),Adreno 302,Discontinued,Yes,About 90 EUR,,Up to 61 h,,,,,No,,,,Microsoft Lumia 532,Micro-SIM,Microsoft,,"IPS LCD,",,GSM / HSPA,"4.0 inches, 45.5 cm2(~58.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-532.jpg,136.3 g (4.80 oz),,,"Black, White, Green, Orange",,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity","FM radio, RDS","4.0, A2DP",,,,118.9 x 65.5 x 11.6 mm (4.68 x 2.58 x 0.46 in),microSDXC (dedicated slot),Yes,"Li-Ion 1560 mAh, removable","5 MP, f/2.4, 28mm (wide)",Up to 528 h (2G) / Up to 528 h (3G)
eMMC 4.5,"A-GPS, GLONASS",VGA,,,Up to 21 h (2G) / Up to 11 h 45 min (3G),480p@30fps,,,480p,"Wi-Fi 802.11 b/g/n, hotspot",,0.58 W/kg (head)     0.54 W/kg (body),,,HSDPA 900 / 2100,Dual-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Windows 10",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 64h,"2015, January. Released 2015, February",,8GB 1GB RAM,Qualcomm MSM8210 Snapdragon 200 (28 nm),Adreno 302,Discontinued,Yes,About 70 EUR,,Up to 64 h,,,,,No,,,,Microsoft Lumia 435 Dual SIM,"Dual SIM (Micro-SIM, dual stand-by)",Microsoft,,"IPS LCD,",,GSM / HSPA,"4.0 inches, 45.5 cm2(~59.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-435.jpg,134.1 g (4.73 oz),,,"Black, White, Green, Orange",,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity","FM radio, RDS","4.0, A2DP",1.05 W/kg (head)     0.57 W/kg (body),,,118.1 x 64.7 x 11.7 mm (4.65 x 2.55 x 0.46 in),microSDXC (dedicated slot),Yes,"Li-Ion 1560 mAh, removable","2 MP, f/2.7, 36mm (standard), 1/5.0""",Up to 504 h (2G) / Up to 504 h (3G)
eMMC 4.5,"A-GPS, GLONASS",VGA,,,Up to 21 h (2G) / Up to 11 h 45 min (3G),480p@30fps,,,480p,"Wi-Fi 802.11 b/g/n, hotspot",,0.58 W/kg (head)     0.54 W/kg (body),,,HSDPA 900 / 2100,Dual-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Windows 10",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,Endurance rating 58h,"2015, January. Released 2015, March",,8GB 1GB RAM,Qualcomm MSM8210 Snapdragon 200 (28 nm),Adreno 302,Discontinued,Yes,About 70 EUR,,Up to 64 h,,,,,No,,,,Microsoft Lumia 435,Micro-SIM,Microsoft,,"IPS LCD,",,GSM / HSPA,"4.0 inches, 45.5 cm2(~59.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-435.jpg,134.1 g (4.73 oz),,,"Black, White, Green, Orange",,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity","FM radio, RDS","4.0, A2DP",0.81 W/kg (head)     0.53 W/kg (body),,,118.1 x 64.7 x 11.7 mm (4.65 x 2.55 x 0.46 in),microSDXC (dedicated slot),Yes,"Li-Ion 1560 mAh, removable","2 MP, f/2.7, 36mm (standard), 1/5.0""",Up to 504 h (2G) / Up to 504 h (3G)
HSDPA 850 / 900 / 1900 / 2100 - RM-1092,"GPS, GLONASS",5 MP,,,Up to 11 h (2G) / Up to 13 h (3G),480p@30fps,,eMMC 4.5,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,0.60 W/kg (head)     0.55 W/kg (body),,,HSDPA 900 / 2100 - RM-1090,Quad-core 1.2 GHz Cortex-A7,Microsoft Windows Phone 8.1,microUSB 2.0,Noise -93.9dB / Crosstalk -94.2dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 44h,"2014, November. Released 2014, December",,8GB 1GB RAM,Qualcomm Snapdragon 200 (28 nm),Adreno 302,Discontinued,Yes,About 80 EUR,,Up to 78 h,,,,,No,,,,Microsoft Lumia 535 Dual SIM,"Dual SIM (Micro-SIM, dual stand-by)",Microsoft,,IPS LCD,Photo,GSM / HSPA,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-535-ds.jpg,146 g (5.15 oz),,,"Orange, green, white, black, gray, blue",Voice 66dB / Noise 64dB / Ring 71dB,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",Corning Gorilla Glass 3,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity",FM radio,"4.0, A2DP, LE, aptX",0.49 W/kg (head)     0.44 W/kg (body),LED flash,,140.2 x 72.4 x 8.8 mm (5.52 x 2.85 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 1905 mAh, removable (BL-L4A)","5 MP, f/2.4, 28mm (wide), 1/4.0"", AF",Up to 336 h
eMMC 4.5,"GPS, GLONASS",5 MP,,,Up to 11 h (2G) / Up to 13 h (3G),480p@30fps,,,720p,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,0.62 W/kg (head)     0.57 W/kg (body),,,HSDPA 900 / 2100,Quad-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2014, November. Released 2014, December",,8GB 1GB RAM,Qualcomm Snapdragon 200 (28 nm),Adreno 302,Discontinued,Yes,About 80 EUR,,Up to 78 h,,,,,No,,,,Microsoft Lumia 535,Micro-SIM,Microsoft,,IPS LCD,,GSM / HSPA,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-535.jpg,146 g (5.15 oz),,,"Orange, green, white, black, gray, blue",,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",Corning Gorilla Glass 3,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity",FM radio,"4.0, A2DP, LE, aptX",0.46 W/kg (head)     0.38 W/kg (body),LED flash,,140.2 x 72.4 x 8.8 mm (5.52 x 2.85 x 0.35 in),microSDXC (dedicated slot),Yes,"Li-Ion 1905 mAh, removable (BL-L4A)","5 MP, f/2.4, 28mm (wide), 1/4.0"", AF",Up to 552 h
Built-in 2-stage kickstand,No,3.5 MP,,,,1080p@30fps,,ClearType technology,1080p@30fps,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,,No,,,Quad-core 1.7 GHz Cortex-A15,Microsoft Windows RT,"USB 3.0, OTG",,N/A,,"2013, September. Released 2013, October",,"32GB 2GB RAM, 64GB 2GB RAM",Nvidia Tegra 4 T40,ULP GeForce (72 cores),Discontinued,Yes,About 330 EUR,,,,,,,No,,No,TV-out via HDMI portMP4/DivX/XviD/WMV/H.264 playerMP3/WAV/eAAC+/FLAC playerPhoto viewer/editorMicrosoft Office 2013 RTSkyDrive (200 GB cloud storage)Skype free international calls and Wi-Fi for 1 year,Microsoft Surface 2,No,Microsoft,,TFT,,No cellular connectivity,"10.6 inches, 309.8 cm2(~65.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-2.jpg,675.9 g (1.49 lb),,,Dark Titanium,,"1920 x 1080 pixels, 16:9 ratio (~208 ppi density)",,,"Accelerometer, gyro, compass",No,"4.0, A2DP",,LED flash,,274.6 x 172.5 x 8.9 mm (10.81 x 6.79 x 0.35 in),microSDXC (dedicated slot),"Yes, with stereo speakers","Li-Ion, non-removable","5 MP, AF",
Built-in kickstand,No,1.2 MP,,,Up to 8 h,720p,,ClearType technology,720p@30fps,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,,No,,,Quad-core 1.3 GHz Cortex-A9,Microsoft Windows RT,"USB 2.0, OTG",Noise -82.6dB / Crosstalk -81.7dB,N/A,,"2012, October. Released 2012, November",,"32GB 2GB RAM, 64GB 2GB RAM",Nvidia Tegra 3 T30,ULP GeForce,Discontinued,Yes,About 260 EUR,,,,,,,No,,No,TV-outMP4/DivX/XviD/WMV/H.264 playerMP3/WAV/eAAC+/FLAC playerPhoto viewer/editorMicrosoft Office 2013 RT,Microsoft Surface,No,Microsoft,Contrast ratio: 1324:1 (nominal),TFT,,No cellular connectivity,"10.6 inches, 309.7 cm2(~65.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface.jpg,680.4 g (1.50 lb),,,Dark Titanium,,"1366 x 768 pixels, 16:9 ratio (~148 ppi density)",,,"Accelerometer, gyro, compass",No,"4.0, A2DP",,,,274.6 x 172 x 9.4 mm (10.81 x 6.77 x 0.37 in),microSDXC (dedicated slot),"Yes, with stereo speakers","Li-Ion battery, non-removable (31.5 Wh)",1.2 MP,Up to 360 h
No,No,,,"Yes, MIDP 2.0",Up to 6 h,720p,,"SNS integrationMP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerMS Office (Word, Excel, PowerPoint, OneNote, PDF viewer)Voice memo/dial/commandsPredictive text input",,Wi-Fi 802.11 b/g,"SMS(threaded view), MMS, Email, Push Email",,,"Practically unlimited entries and fields, Photocal",CDMA2000 1xEV-DO,600MHz ARM 11,,microUSB 2.0,,CDMA 800 / 1900,,"2010, November. Released 2010, November",,8GB 256MB RAM,Nvidia Tegra,,Discontinued,Yes,About 160 EUR,,,,,,No,,,,,Microsoft Kin TWOm,Mini-SIM,Microsoft,,TFT,,CDMA / EVDO,"3.4 inches, 34.4 cm2(~51.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/kin-twom.jpg,133 g (4.69 oz),Practically unlimited,QWERTY,Black,,"320 x 480 pixels, 3:2 ratio (~170 ppi density)",,EV-DO Rev.A 3.1 Mbps,"Accelerometer, proximity","Stereo FM radio, RDS","2.1, A2DP",1.29 W/kg (head)     0.76 W/kg (body),LED flash,"WAP 2.0/xHTML, HTML",111.3 x 59.9 x 16.3 mm (4.38 x 2.36 x 0.64 in),No,"Yes, with stereo speakers",Removable Li-Ion battery,"8 MP, AF",Up to 232 h
No,"GPS, A-GPS",,,"Yes, MIDP 2.1",Up to 5 h 40 min,480p@30fps,,"MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerFacebook and Twitter integrationYouTube clientMS Office (Word, Excel, PowerPoint, OneNote, PDF viewer)Voice memoPredictive text input",,Wi-Fi 802.11 b/g,"SMS(threaded view), MMS, Email, Push Email",,,"Practically unlimited entries and fields, Photocal",CDMA2000 1xEV-DO,600MHz ARM 11,,microUSB 2.0,,CDMA 800 / 1900,,"2010, November. Released 2010, November",,4GB 256MB RAM,Nvidia Tegra,,Discontinued,Yes,About 90 EUR,,,,,,Yes + downloadable,,,,,Microsoft Kin ONEm,Mini-SIM,Microsoft,,TFT,,CDMA / EVDO,"2.6 inches, 20.9 cm2(~36.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/kin-onem.jpg,110.6 (3.88 oz),Practically unlimited,QWERTY,Black,,"320 x 240 pixels, 4:3 ratio (~154 ppi density)",,EV-DO Rev.A 3.1 Mbps,"Accelerometer, proximity","Stereo FM radio, RDS","2.1, A2DP",1.38 W/kg (head)     0.49 W/kg (body),Dual-LED flash,"WAP 2.0/xHTML, HTML",84.1 x 67.6 x 18.5 mm (3.31 x 2.66 x 0.73 in),No,Yes,Removable Li-Ion 1240 mAh battery,"5 MP, AF",Up to 210 h
,"GPS, A-GPS",,,"Yes, MIDP 2.1",,720p,,No,,Wi-Fi 802.11 b/g,"SMS(threaded view), MMS, Email, Push Email",,,"Practically unlimited entries and fields, Photocal",HSDPA 900 / 2100,600MHz ARM 11,,microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,,"2010, April",,8GB 256MB RAM,Nvidia Tegra,,Cancelled,Yes,About 330 EUR,,,,,,Yes + downloadable,,,,"MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerFacebook and Twitter integrationYouTube clientMS Office (Word, Excel, PowerPoint, OneNote, PDF viewer)Voice memoPredictive text input",Microsoft Kin Two,Mini-SIM,Microsoft,,TFT,,GSM / HSPA,"3.4 inches, 34.4 cm2(~45.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-kin-two-new.jpg,-,Practically unlimited,QWERTY,Black,,"320 x 480 pixels, 3:2 ratio (~170 ppi density)",,HSPA 7.2/2 Mbps,"Accelerometer, proximity","Stereo FM radio, RDS","2.1, A2DP",,LED flash,"WAP 2.0/xHTML, HTML",115.1 x 65.3 x TBC mm,No,"Yes, with stereo speakers",Removable Li-Ion 1390 mAh battery,"8 MP, AF",Up to 232 h
