,CPU,Features,Single_1,Alert types,Stand-by,OS,Loudspeaker,Bluetooth,_2,Price,_3,Keyboard,3.5mm jack,SIM,Single,Weight,Chipset,Status,WLAN,Infrared port,2G bands,Browser,Resolution,Talk time,Card slot,Languages,Speed,Announced,Video_1,Technology,_1,Brand,Model Image,Size,Model Name,Colors,Type,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,Sensors
Handwriting recognition,Intel Bulverde 416 MHz,,,Vibration; Downloadable polyphonic ringtones,Up to 180 h,Microsoft Windows Mobile 2003 SE PocketPC,Yes,1.2,Pocket OfficeVoice memoMP3/AAC playerPredictive text input,,,,No,Mini-SIM,1.3 MP,150 g (5.29 oz),,Discontinued,No,Yes,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,SDIO/MMC,,,"2005, Q2",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-s110.gif,"2.8 inches, 42 x 57 mm, 24.3 cm2(~38.8% screen-to-body ratio)",Qtek S110,Stylish black,"TFT resistive touchscreen, 65K colors",Class 10,108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in),128MB RAM,Proprietary,No,No,No,,Yes,Removable Li-Po 1200 mAh battery,
Handwriting recognition,Intel Bulverde 416 MHz,,,Vibration; Downloadable polyphonic ringtones,Up to 180 h,Microsoft Windows Mobile 2003 SE PocketPC,Yes,Yes,Pocket OfficeVoice memoMP3/AAC playerPredictive text input,,,,No,Mini-SIM,1.3 MP,150 g (5.29 oz),,Discontinued,No,Yes,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,SDIO/MMC,,,"2004, Q4",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-s100.gif,"2.8 inches, 42 x 57 mm, 24.3 cm2(~38.8% screen-to-body ratio)",Qtek S100,Stylish black and silver,"TFT resistive touchscreen, 65K colors",Class 10,108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in),64MB RAM,Proprietary,No,No,No,,Yes,Removable Li-Po 1200 mAh battery,
Downloadable logos,Intel PXA263 400 MHz,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 200 h,Microsoft Windows Mobile 2003 SE PocketPC,Yes,Yes,Microsoft ActiveSyncMP3/AAC playerPredictive text input,,,QWERTY,No,Mini-SIM,VGA,210 g (7.41 oz),,Discontinued,Wi-Fi 802.11b,Yes,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",Up to 5 h,SDIO/MMC,8,,"2004, Q3",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-9090.gif,"3.5 inches, 53 x 71 mm, 37.9 cm2(~42.7% screen-to-body ratio)",Qtek 9090,Stylish black and silver,"TFT resistive touchscreen, 65K colors",Class 10,125 x 71 x 18 mm (4.92 x 2.80 x 0.71 in),128MB RAM,Proprietary,No,No,No,,Yes,Removable Li-Po 1490 mAh battery,
5-way navigation button3-color LED indicatorDownloadable logos,200 MHz ARM926EJ-S,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 140 h,Microsoft Windows Mobile 2003 SE Smartphone,Yes,Yes,MP3/AAC playerPredictive text inputOrganizer,,,,No,Mini-SIM,VGA,102 g (3.60 oz),TI OMAP 730,Discontinued,No,Yes,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)",176 x 220 pixels (~128 ppi density),Up to 5 h,MiniSD,8,,"2004, Q3",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-8020.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2(~32.4% screen-to-body ratio)",Qtek 8020,Stylish black and silver,"TFT, 65K colors",Class 10,107 x 44 x 18 mm (4.21 x 1.73 x 0.71 in),32MB RAM,Proprietary,No,No,No,,Yes,Removable Li-Ion 1050 mAh battery,
5-way navigation button3-color LED indicatorDownloadable logos,200 MHz ARM926EJ-S,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 140 h,Microsoft Windows Mobile 2003 SE Smartphone,Yes,Yes,Microsoft ActiveSyncMP3/AAC playerPredictive text input,,,,No,Mini-SIM,VGA,106 g (3.74 oz),TI OMAP 730,Discontinued,No,Yes,GSM 900 / 1800 / 1900,HTML (Pocket IE),176 x 220 pixels (~128 ppi density),Up to 5 h,MiniSD,8,,"2004, Q2",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-8010.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2(~30.9% screen-to-body ratio)",Qtek 8010,"Cool metallic, Light blue","TFT, 65K colors",Class 10,107 x 46 x 17.5 mm (4.21 x 1.81 x 0.69 in),32MB RAM,Proprietary,No,No,No,,Yes,Removable Li-Ion 1050 mAh battery,
5-way navigation buttonDownloadable logos,Intel Bulverde 520 MHz,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 168 h,Microsoft Windows Mobile 2003 SE PocketPC,Yes,Yes,Microsoft ActiveSyncMP3 playerPredictive text input,,,,No,Mini-SIM,1.3 MP,190 g (6.70 oz),,Discontinued,Wi-Fi 802.11b,Yes,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",Up to 4 h,SDIO/MMC,,,"2004, Q2",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-2020i.gif,"3.5 inches, 53 x 71 mm, 37.9 cm2(~41.7% screen-to-body ratio)",Qtek 2020i,Silver,"TFT resistive touchscreen, 65K colors",Class 10,"130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in)","128MB RAM, 128MB ROM",Proprietary,No,No,No,,Yes,Removable Li-Ion 1300 mAh battery,
5-way navigation buttonDownloadable logos,Intel PXA263 400 MHz,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 160 h,Microsoft Windows Mobile 2003 PocketPC,Yes,Yes,Microsoft ActiveSyncMP3 playerPredictive text input,,,,No,Mini-SIM,VGA,190 g (6.70 oz),,Discontinued,No,Yes,GSM 900 / 1800 / 1900,HTML (Pocket IE),"240 x 320 pixels, 4:3 ratio (~114 ppi density)",Up to 3 h 30 min,SDIO/MMC,7,,"2004, Q2",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-2020.gif,"3.5 inches, 53 x 71 mm, 37.9 cm2(~41.7% screen-to-body ratio)",Qtek 2020,Silver,"TFT resistive touchscreen, 65K colors",Class 10,"130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in)",64MB RAM (128MB optional),Proprietary,No,No,No,,Yes,Removable Li-Ion 1200 mAh battery,
White LED back light5-way navigation buttonDownloadable logos,133 MHz  ARM925,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 90 h,Microsoft Windows Mobile 2003 Smartphone,Yes,Yes,Microsoft ActiveSyncCalculatorPredictive text inputMP3 player,,,,No,Mini-SIM,VGA,130 g (4.59 oz),TI OMAP 710,Discontinued,No,Yes,GSM 900 / 1800 / 1900,HTML (Pocket IE),176 x 220 pixels (~128 ppi density),Up to 6 h,SDIO/MMC,7,,"2004, Q1",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-8080.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2(~25.4% screen-to-body ratio)",Qtek 8080,,"TFT, 65K colors",Class 8,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)","32MB RAM, 64MB ROM",Proprietary,No,No,No,,No,Removable Li-Ion 1000 mAh battery,
White LED back light5-way navigation buttonDownloadable logos,133 MHz  ARM925,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 90 h,Microsoft Windows Mobile 2003 Smartphone,Yes,Yes,Microsoft ActiveSyncCalculatorPredictive text inputMP3 player,,,,No,Mini-SIM,VGA,130 g (4.59 oz),TI OMAP 710,Discontinued,No,Yes,GSM 900 / 1800 / 1900,HTML (Pocket IE),176 x 220 pixels (~128 ppi density),Up to 6 h,SDIO/MMC,7,,"2004, Q1",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-8060.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2(~25.4% screen-to-body ratio)",Qtek 8060,,"TFT, 65K colors",Class 8,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)","32MB RAM, 64MB ROM",Proprietary,No,No,No,,No,Removable Li-Ion 1000 mAh battery,
No,,,,"Vibration; Downloadable polyphonic, WAV ringtones",Up to 150 h,Microsoft Windows Mobile 2002 PocketPC,Yes,No,,,,,No,Mini-SIM,,201 g (7.09 oz),,Discontinued,No,Yes,GSM 900 / 1800,HTML (PocketIE),"240 x 320 pixels, 4:3 ratio (~114 ppi density)",Up to 5 h,MMC/SD,,,2003,,GSM,Pocket OfficeMedia playerVoice memo,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-1010.gif,"3.5 inches, 53 x 71 mm, 37.9 cm2(~40.3% screen-to-body ratio)",Qtek 1010,,"TFT resistive resistive touchscreen, 4096 colors",Class 8,129 x 73 x 18 mm (5.08 x 2.87 x 0.71 in),"64MB RAM, 32MB ROM",Proprietary,No,No,No,,,Removable Li-Ion 1500 mAh battery,
White LED back light5-way navigation buttonDownloadable logos,120 MHz,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 100 h,Microsoft Windows 2002 Smartphone,Yes,No,OrganizerWorld ClockPredictive text inputMP3 player,,,,No,Mini-SIM,,120 g (4.23 oz),,Discontinued,No,Yes,GSM 900 / 1800 / 1900,HTML (PocketIE),176 x 220 pixels (~128 ppi density),Up to 3 h,MMC/SD,7,,"2004, Q1",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-7070.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2(~25.4% screen-to-body ratio)",Qtek 7070,,"TFT, 65K colors",Class 8,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)","16MB RAM, 32MB ROM",Proprietary,No,No,No,,,Removable Li-Ion 1000 mAh battery,
