,Triple,Resolution,Penta,Price,Display,Type_1,512GB 12GB RAM,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Brand,5G bands,Dual_1,Protection,Radio,256GB 8GB RAM,Performance,CPU,_4,Video_1,EDGE,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Languages,USB,Sensors,Battery (old),GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,256GB 12GB RAM,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,2G bands,Features,Dimensions,SAR
CDMA 800 / 1900,,1080 x 2460 pixels (~396 ppi density),,About 490 EUR,,8800 mAh,,"4K@30fps, 1080p@30fps","Back display:1.32 inches, 360 x 360 pixels (Gorilla Glass Victus)",Mali-G77 MC9,No,Mediatek Dimensity 8020 (6 nm),120W wired5W reverse wired,GSM / CDMA / HSPA / LTE / 5G,"2024, January","IPS LCD, 120Hz","Android 13, Doke-OS 4.0",,,Blackview,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",,Corning Gorilla Glass Victus,FM radio,,,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Sound by Harman Kardon,1080p@30fps,,413 g (14.57 oz),,Nano-SIM + Nano-SIM,512GB 12GB RAM,"50 MP, (wide), 1/2.8""",UFS 3.1,"6.78 inches, 109.2 cm2(~73.6% screen-to-body ratio)",No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,,,"Available. Released 2024, January",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl9000.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview BL9000,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G","Yes, with stereo speakers","5.1, A2DP, LE",,"50 MP, (wide), 1/1.57"", PDAF13 MP, 120˚, (ultrawide), AF","Rose Gold, Interstellar Black","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","GPS, GLONASS, BDS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",179.5 x 82.6 x 17 mm (7.07 x 3.25 x 0.67 in),
CDMA 800 / 1900,"50 MP, (wide), 1/1.57"", PDAF8 MP, 117˚, (ultrawide)2 MP, (depth)",1080 x 2460 pixels (~396 ppi density),,,,8800 mAh,,"4K@30fps, 1080p@30fps","Back display:1.32 inches, 240 x 240 pixels (Gorilla Glass 5)",Mali-G68 MC4,No,Mediatek Dimensity 7050 (6 nm),33W wired5W reverse wired,GSM / CDMA / HSPA / LTE / 5G,"2024, January","IPS LCD, 120Hz","Android 13, Doke-OS 4.0",,,Blackview,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",,Corning Gorilla Glass 5,FM radio,,,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,Yes,,385 g (13.58 oz),,Nano-SIM + Nano-SIM,512GB 12GB RAM,"16 MP, (wide)",UFS 3.1,"6.78 inches, 109.2 cm2(~73.6% screen-to-body ratio)",No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,,,"Available. Released 2024, January",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl8000.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass, gyro",,,Blackview BL8000,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",Yes,"5.1, A2DP, LE",,,"Celestial Silver, Orbit Grey","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","GPS (L1+L5), GLONASS, BDS, GALILEO",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",179.5 x 82.6 x 17 mm (7.07 x 3.25 x 0.67 in),
UFS 2.2,,1080 x 2460 pixels (~396 ppi density),,About 160 EUR,,5000 mAh,,"1440p@30fps, 1080p@30fps",,Mali-G57 MC2,microSDXC (dedicated slot),Mediatek Helio G99 (6 nm),33W wired,GSM / HSPA / LTE,"2023, November","IPS LCD, 120Hz, 500 nits","Android 13, Doke OS 4.0",,,Blackview,,,,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,198.3 g (6.98 oz),,Nano-SIM + Nano-SIM,256GB 8GB RAM,"13 MP, (wide), 1/3"", 1.12µm",,"6.78 inches, 109.2 cm2(~84.6% screen-to-body ratio)",Yes,,,,"Available. Released 2023, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-shark8.jpg,,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",,,Blackview Shark 8,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"64 MP, (wide), 1/1.97"", 0.7µm, PDAFSecondary unspecified camera","Galaxy Blue, Scorching Gold, Moonlight Grey","1, 3, 7, 8, 19, 20, 28, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",168.5 x 76.6 x 8.4 mm (6.63 x 3.02 x 0.33 in),
Stylus support,,"1200 x 2000 pixels, 5:3 ratio (~194 ppi density)",,,,8800 mAh,,1080p@30fps,Tuned by Harman Kardon,Mali-G57 MC2,microSDXC (uses shared SIM slot),Mediatek Helio G99 (6 nm),33W wired,GSM / HSPA / LTE,"2023, November","IPS LCD, 350 nits","Android 13, Doke OS_P 4.0",8 MP,,Blackview,,,,FM Radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,Yes,,632 g (1.39 lb),,Nano-SIM + Nano-SIM,256GB 12GB RAM,16 MP,,"12.0 inches, 409.9 cm2(~85.2% screen-to-body ratio)",No,UFS 2.1,,,"Available. Released 2023, November",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab18.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview Tab 18,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers (4 speakers)","5.1, A2DP, LE",,,"Turquoise Green, Glacier Blue, Space Grey","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,277.6 x 173.2 x 7.9 mm (10.93 x 6.82 x 0.31 in),
CDMA 800 / 1900,,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,About 190 EUR,,4380 mAh,,"1440p@30fps, 1080p@30fps",,Mali-G57 MC2,No,Mediatek Helio G99 (6 nm),18W wired,GSM / CDMA / HSPA / LTE,"2023, September","IPS LCD, 120Hz","Android 13, Doke OS 3.1",,,Blackview,,,,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,193.9 g (6.84 oz),,Nano-SIM + Nano-SIM,"256GB 8GB RAM, 256GB 12GB RAM","16 MP, (wide), 1/3"", 1.0µm",,"6.5 inches, 102.0 cm2(~85.0% screen-to-body ratio)",No,UFS 2.2,,,"Available. Released 2023, September",https://fdn2.gsmarena.com/vv/bigpic/blackview-a96.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,Blackview A96,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"48 MP, (wide), 1/2.25"", 0.8µm, PDAF8 MP, 117˚ (ultrawide)","Provence Purple, Obsidian Black","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 38, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",161.8 x 74.2 x 8.6 mm (6.37 x 2.92 x 0.34 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,,13000 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC (dedicated slot),Mediatek MT6765 Helio P35 (12 nm),18W wiredReverse wired,GSM / HSPA / LTE,"2023, July",IPS LCD,"Android 13, Doke OS 3.1",,,Blackview,,,,FM radio,,,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,1080p@30fps,,438 g (15.45 oz),,Nano-SIM + Nano-SIM,128GB 4GB RAM,8 MP,,"6.56 inches, 103.4 cm2(~72.3% screen-to-body ratio)",No,eMMC 5.1,,,"Available. Released 2023, July",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv6200-pro.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass",,,Blackview BV6200 Pro,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,13 MP0.3 MP,"Black, Orange, Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,174.4 x 82 x 19.2 mm (6.87 x 3.23 x 0.76 in),
eMMC 5.1,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,,,7680 mAh,,1080p@30fps,,Mali-G57 MP1,microSDXC (uses shared SIM slot),Unisoc T606 (12 nm),10W wired,GSM / HSPA / LTE,"2023, September",IPS LCD,"Android 13, Doke OS_P 3.0",,,Blackview,,,,FM Radio,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,1080p@30fps,,484 g (1.07 lb),,Nano-SIM + Nano-SIM,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM",8 MP,,"10.1 inches, 295.8 cm2(~78.7% screen-to-body ratio)",Yes,,,,"Available. Released 2023, September",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-80.jpg,,"USB Type-C, OTG",Accelerometer,,,Blackview Tab 80,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP",,13 MPsecondary unspecified camera,"Grey, Blue, Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,LED flash,241 x 156 x 7.5 mm (9.49 x 6.14 x 0.30 in),
Stylus support,,"800 x 1340 pixels, 5:3 ratio (~180 ppi density)",,,,6050 mAh,,1080p@30fps,,Mali-G57 MP1,microSDXC (uses shared SIM slot),Unisoc T606 (12 nm),,GSM / HSPA / LTE,"2023, September",IPS LCD,"Android 13, Doke OS_P 3.0",5 MP,,Blackview,,,,FM Radio,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,Yes,,338 g (11.92 oz),,Nano-SIM + Nano-SIM,"128GB 4GB RAM, 128GB 6GB RAM",8 MP,,"8.68 inches, 213.9 cm2(~81.2% screen-to-body ratio)",Yes,eMMC 5.1,,,"Available. Released 2023, September",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-60.jpg,,"USB Type-C, OTG","Accelerometer, proximity (accessories only)",,,Blackview Tab 60,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP",,,"Grey, Blue, Green","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,,211.7 x 124.4 x 8.4 mm (8.33 x 4.90 x 0.33 in),
eMMC 5.1,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,,,6580 mAh,,Yes,,,microSDXC,,10W wired,No cellular connectivity,"2023, September",IPS LCD,"Android 13, DokeOS_P 3.0",2 MP,,Blackview,,,,No,,,Quad-core,,Yes,No,520.5 g (1.15 lb),,No,64GB 3GB RAM,5 MP,,"10.1 inches, 295.8 cm2(~73.6% screen-to-body ratio)",Unspecified,,,,"Available. Released 2023, September",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-70-wifi.jpg,,"USB Type-C 2.0, OTG","Accelerometer, proximity (accessories only)",,No,Blackview Tab 70 WiFi,N/A,,"Yes, with stereo speakers","5.0, A2DP, LE",,,"Space Grey, Twilight Blue",N/A,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,No,,N/A,LED flash,246.5 x 163 x 9.9 mm (9.70 x 6.42 x 0.39 in),
eMMC 5.1,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,,,5580 mAh,,Yes,,,microSDXC,,,No cellular connectivity,"2023, September",IPS LCD,"Android 13, DokeOS_P 3.0",0.3 MP,,Blackview,,,,No,,,Quad-core,,Yes,No,355 g (12.52 oz),,No,128GB 4GB RAM,2 MP,,"8.0 inches, 185.6 cm2(~69.6% screen-to-body ratio)",Unspecified,,,,"Available. Released 2023, September",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-50-wifi.jpg,,"USB Type-C, OTG",Accelerometer,,No,Blackview Tab 50 WiFi,N/A,,"Yes, with stereo speakers","5.0, A2DP, LE",,,"Twilight Blue, Space Grey",N/A,"Wi-Fi 802.11 a/b/g/n/ac/6, tri-band",No,No,,N/A,LED flash,211.2 x 126.2 x 9.7 mm (8.31 x 4.97 x 0.38 in),
UFS 2.2,"108 MP, (wide), 1/1.67"", 0.64µm, PDAF8 MP, 117˚, (ultrawide), 1/4.0"", 1.12µm2 MP, (macro)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,About 290 EUR,,5050 mAh,,"1440p@30fps, 1080p@30fps",,Mali-G57 MC2,microSDXC (uses shared SIM slot),Mediatek Helio G99 (6 nm),66W wired,GSM / HSPA / LTE,"2023, July 29","AMOLED, 120Hz","Android 13, Doke OS 4.0",,,Blackview,,,Corning Gorilla Glass 5,No,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,196 g (6.91 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back",Nano-SIM + Nano-SIM,256GB 12GB RAM,"16 MP, (wide), 1/3.0"", 1.0µm",,"6.67 inches, 107.4 cm2(~90.0% screen-to-body ratio)",No,,,,"Available. Released 2023, August 21",https://fdn2.gsmarena.com/vv/bigpic/blackview-a200-pro.jpg,,"USB Type-C, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,Blackview A200 Pro,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.2, A2DP, LE",,,"Daybreak Blue, Meteor Purple, Polar Night Black","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,162.2 x 73.6 x 8.6 mm (6.39 x 2.90 x 0.34 in),
IP68/IP69K dust/water resistant (up to 15m for 30 min)Drop resistant up to 60mMIL-STD-810H compliant,,"540 x 1200 pixels, 20:9 ratio (~306 ppi density)",,About 190 EUR,,3880 mAh (solid state battery),,"1440p@30fps, 1080p@30fps",24-bit/192kHz Hi-Res audio,Mali-G57 MC2,No,Mediatek Helio G99 (6 nm),18W wired2.5W reverse wired,GSM / HSPA / LTE,"2023, July 19","IPS LCD, 450 nits","Android 13, DokeOS 3.1",,HDR,Blackview,,,Corning Gorilla Glass 5,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p,,208 g (7.34 oz),,Nano-SIM + Nano-SIM,256GB 8GB RAM,"16 MP, (wide), 1/3""",,"4.3 inches, 44.6 cm2(~51.4% screen-to-body ratio)",No,UFS 2.1,,,"Available. Released 2023, July 24",https://fdn2.gsmarena.com/vv/bigpic/blackview-n6000.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",,,Blackview N6000,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.2, A2DP, LE",,"48 MP, (wide), 1/2.25"", PDAFother unspecified camera","Black, Orange, Green","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",133 x 65.3 x 18.4 mm (5.24 x 2.57 x 0.72 in),
,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,,5100 mAh,,1080p@30fps,,IMG8322,microSDXC (uses shared SIM slot),Unisoc SC9863A (28 nm),,GSM / HSPA / LTE,"2023, December","IPS LCD, 380 nits","Android 13 (Go edition), Doke OS 4.0 Go","5 MP, (wide)",,Blackview,,,,FM radio,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,Yes,,191 g (6.74 oz),,Nano-SIM + Nano-SIM,32GB 2GB RAM,"8 MP, (wide)",,"6.5 inches, 102.0 cm2(~81.0% screen-to-body ratio)",Yes,,,,"Available. Released 2023, December",https://fdn2.gsmarena.com/vv/bigpic/blackview-wave6c.jpg,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity",,,Blackview Wave 6C,HSDPA 900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP",,,"Lilac Purple, Mint Blue, Midnight Black","1, 3, 7, 8, 19, 20, 40",Wi-Fi 802.11 b/g/n,"GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",164.7 x 76.5 x 9.7 mm (6.48 x 3.01 x 0.38 in),
CDMA 800 / 1900,,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",,About 220 EUR,,22000 mAh,,"1440p@30fps, 1080p@30fps",,Mali-G57 MC2,microSDXC (uses shared SIM slot),Mediatek Helio G99 (6 nm),33W wired,GSM / CDMA / HSPA / LTE,"2023, July 03",IPS LCD,"Android 12, Doke OS_P 3.0","16 MP, (wide), 1/3""",,Blackview,,,,FM Radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,Yes,,976 g (2.15 lb),,Nano-SIM + Nano-SIM,256GB 8GB RAM,"48 MP, (wide), 1/2.25"", PDAF",,"10.36 inches, 305.5 cm2(~71.9% screen-to-body ratio)",Yes,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,,,"Available. Released 2023, July 10",https://fdn2.gsmarena.com/vv/bigpic/blackview-active8-pro.jpg,,"USB Type-C 2.0, OTG","Accelerometer, gyro, proximity, compass",,,Blackview Active 8 Pro,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP",,,"Black, Orange","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 28, 25, 26, 30, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,LED flash,256.3 x 165.8 x 16.8 mm (10.09 x 6.53 x 0.66 in),
,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,About 160 EUR,,6580 mAh,,1440p@30fps,,Mali-G57 MP1,microSDXC (uses shared SIM slot),Unisoc T606 (12 nm),10W wired,GSM / HSPA / LTE,"2023, March 24",IPS LCD,"Android 12, DokeOS_P 3.0","5 MP, f/2.2, (wide), 1/5.0""",,Blackview,,,,FM radio,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,Yes,,430 g (15.17 oz),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"13 MP, f/2.2, (wide), 1/3.06""",,"10.1 inches, 295.8 cm2(~78.7% screen-to-body ratio)",Yes,,,,"Available. Released 2023, March",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab12-pro.jpg,,"USB Type-C, OTG","Accelerometer, proximity (accessories only)",,,Blackview Tab 12 Pro,HSDPA 900 / 2100,"HSPA, LTE","Yes, with stereo speakers","5.0, A2DP, LE",,,"Twilight Blue, Lunar Silver, Space Gray","1, 3, 7, 8, 20, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",No,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",238.5 x 157.5 x 7.4 mm (9.39 x 6.20 x 0.29 in),
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,"13 MP, (wide), 1/3.06"", PDAFother unspecified cameras","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,About 110 EUR,,6580 mAh,,1080p@30fps,,PowerVR GE8320,microSDXC (dedicated slot),Mediatek MT6765 Helio P35 (12 nm),10W wired2.5W reverse wired,GSM / HSPA / LTE,"2023, May","IPS LCD, 500 nits","Android 12, DokeOS 3.1",,,Blackview,,,,FM radio,,,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,Yes,,273 g (9.63 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,8 MP,,"6.1 inches, 91.3 cm2(~72.9% screen-to-body ratio)",No,,,,"Available. Released 2023, May",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv5300-pro.jpg,,"USB Type-C 2.0, OTG","Accelerometer, proximity, compass",,,Blackview BV5300 Pro,HSDPA 900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,,"Black, Orange, Green","1, 3, 7, 8, 19, 20, 28, 40","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",161.5 x 77.6 x 15 mm (6.36 x 3.06 x 0.59 in),
eMMC 5.1,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,About 80 EUR,,6580 mAh,,1080p@30fps,,,microSDXC,,,No cellular connectivity,"2023, May",IPS LCD,"Android 12, DokeOS_P 3.0",8 MP,,Blackview,,,,No,,,Quad-core,,Yes,No,520.5 g (1.15 lb),,No,128GB 4GB RAM,13 MP,,"10.1 inches, 295.8 cm2(~73.6% screen-to-body ratio)",Yes,,,,"Available. Released 2023, May",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-8-wifi.jpg,,"USB Type-C 2.0, OTG",Accelerometer,,No,Blackview Tab 8 WiFi,N/A,,"Yes, with stereo speakers","5.0, A2DP",,,"Space Grey, Ice Blue",N/A,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,No,,N/A,LED flash,246.5 x 163 x 9.9 mm (9.70 x 6.42 x 0.39 in),
CDMA 800 / 1900,,"1080 x 2408 pixels, 20:9 ratio (~406 ppi density)",,About 290 EUR,,10380 mAh,,"4K@30fps, 1080p@30fps",UFS,PowerVR GM9446,microSDXC (uses shared SIM slot),Mediatek MT6779 Helio P90 (12 nm),33W wiredReverse wired,GSM / CDMA / HSPA / LTE,"2023, May 28",IPS LCD,"Android 13, Doke-OS 3.1",,,Blackview,,,Corning Gorilla Glass Victus,FM radio,,,Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),,1080p@30fps,,398 g (14.04 oz),,Nano-SIM + Nano-SIM,256GB 8GB RAM,"16 MP, f/2.2, (wide)",,"6.5 inches, 101.8 cm2(~71.8% screen-to-body ratio)",No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810H compliant,,,"Available. Released 2023, June 12",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv8900.jpg,,"USB Type-C 3.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass, gyro, barometer",,,Blackview BV8900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"64 MP, f/1.8, (wide), 1/1.97"", PDAF, OIS5 MP, thermal assisted cameraFLIR thermal camera (Lepton module)","Black, Orange, Green","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"Thermal imaging, LED flash",172.4 x 82.2 x 19.8 mm (6.79 x 3.24 x 0.78 in),
Stylus support,,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",,About 130 EUR,,8380 mAh,,1080p@30fps,,,microSDXC,Mediatek MT8183,18W wired,No cellular connectivity,"2023, June 12",IPS LCD,"Android 12, DokeOS_P 3.0","16 MP, (wide)",,Blackview,,,,FM radio,,,Octa-core,,1080p@30fps,No,442 g (15.59 oz),,No,256GB 8GB RAM,"16 MP, (wide)",,"10.36 inches, 305.5 cm2(~78.9% screen-to-body ratio)",Unspecified,UFS 2.1,,,"Available. Released 2023, June 12",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-11-wifi.jpg,"Lagoon Green, Space Grey","USB Type-C, OTG",Unspecified,,No,Blackview Tab 11 WiFi,N/A,,"Yes, with stereo speakers","4.2, A2DP",,,"Gray, Green, Silver",N/A,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Unspecified,No,,N/A,LED flash,247 x 156.8 x 7.6 mm (9.72 x 6.17 x 0.30 in),
CDMA 800 / 1900,"50 MP, (wide), 1/2.76"", 0.64µm, PDAF8 MP, 120˚, (ultrawide), AF2 MP, (depth)",1080 x 2388 pixels (~391 ppi density),,About 390 EUR,,15080 mAh,,"1440p@30fps, 1080p@30fps",UFS 2.1,Mali-G57 MC2,microSDXC (uses shared SIM slot),Mediatek Helio G99 (6 nm),33W wired5W reverse wired,GSM / CDMA / HSPA / LTE,"2023, May 10","IPS LCD, 120Hz","Android 12, Doke-OS 3.1",,,Blackview,,,Corning Gorilla Glass 5,FM radio,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,1080p,,520 g (1.15 lb),,Nano-SIM + Nano-SIM,256GB 12GB RAM,"32 MP, (wide)",,"6.7 inches, 108.7 cm2(~68.8% screen-to-body ratio)",No,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliantLaser rangefinder (up to 40m)Dedicated flashlight (100 lumens),,,"Available. Released 2023, May 10",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv9300.jpg,,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass",,,Blackview BV9300,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"5.2, A2DP, LE",,,"Black, Orange, Green","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66","Wi-Fi 802.11 a/b/g/n/ac, dual-band","GPS, GLONASS, GALILEO, BDS",Yes,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",184.6 x 85.6 x 22.8 mm (7.27 x 3.37 x 0.90 in),
