Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
LED flash,Octa-core 1.3 GHz,,"1, 3, 7, 8, 20, 38, 39, 40, 41",Yes,,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,,,Yes,,Dual SIM,,"13 MP, AF",164 g (5.78 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,microSDXC (dedicated slot),,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2015, November. Released 2015, November",,GSM / HSPA / LTE,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s616.jpg,"5.5 inches, 83.4 cm2(~81.4% screen-to-body ratio)",Philips S616,,,Black,IPS LCD,,,143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,,1080p@30fps,Li-Ion 3000 mAh battery,,"Accelerometer, proximity, compass",
LED flash,Octa-core 1.7 GHz,,,2 MP,,,Android 4.4 (KitKat),Yes,"3.0, A2DP",,,,,,,Yes,,Dual SIM,,"13 MP, f/2.0, AF",168 g (5.93 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,microSDHC (dedicated slot),,,HSPA 21.1/11.5 Mbps,No,,"2015, September. Released 2015, September",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-i928.jpg,"6.0 inches, 99.2 cm2(~75.8% screen-to-body ratio)",Philips I928,,,"Black, White",IPS LCD,,,160.1 x 81.8 x 8.2 mm (6.30 x 3.22 x 0.32 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 3000 mAh battery,,"Accelerometer, proximity, compass",
LED flash,Quad-core 1.3 GHz,,"1, 3, 7, 20, 38, 39, 40, 41",5 MP,Up to 1130 h,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,,,Yes,,Dual SIM,,"13 MP, AF",189 g (6.67 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 28 h,microSDXC (dedicated slot),,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,,"2015, August. Released 2015, August",,GSM / HSPA / LTE,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-v526-.jpg,"5.0 inches, 68.9 cm2(~64.8% screen-to-body ratio)",Philips V526,,,Black,IPS LCD,,,145 x 73.4 x 10 mm (5.71 x 2.89 x 0.39 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 5000 mAh battery,,"Accelerometer, proximity, compass",
LED flash,Octa-core 1.7 GHz,,,5 MP,,,Android 4.4.2 (KitKat),Yes,"4.1, A2DP",,,,,,,Yes,,Dual SIM,,"13 MP, f/2.2, AF",156 g (5.50 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,microSDHC (dedicated slot),,,HSPA 21.1/11.5 Mbps,No,,"2015, August. Released 2015, August",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-i908.jpg,"5.0 inches, 68.9 cm2(~68.9% screen-to-body ratio)",Philips I908,,,"Black, White",IPS LCD,,,143 x 70 x 8.8 mm (5.63 x 2.76 x 0.35 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 3000 mAh battery,,"Accelerometer, proximity, compass",
LED flash,Quad-core 1.0 GHz Cortex-A53,,"1, 3, 7, 20, 38, 39, 40, 41",8 MP,,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,,,Yes,,Dual SIM,,"8 MP, AF",151 g (5.33 oz),Mediatek MT6735P (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (dedicated slot),,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,,"2015, June. Released 2015, June",,GSM / HSPA / LTE,,,,Philips,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/philips-s396.jpg,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",Philips S396,,,Black,IPS LCD,,,141.9 x 73 x 9.7 mm (5.59 x 2.87 x 0.38 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2300 mAh, removable",,"Accelerometer, proximity, compass",
LED flash,Quad-core 1.3 GHz,No,,,,,Android 4.2 (Jelly Bean),Yes,"3.0, A2DP",,,,,,,Yes,,Dual SIM,,"5 MP, AF",136.5 g (4.83 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",,microSDHC (dedicated slot),,,HSPA,No,,"2014, Q3. Released 2014, Q3",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s388.jpg,"4.5 inches, 55.8 cm2(~63.5% screen-to-body ratio)",Philips S388,,,Black,IPS LCD,,,131 x 67.1 x 9.1 mm (5.16 x 2.64 x 0.36 in),,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,Yes,"Li-Ion 1700 mAh, removable",,Accelerometer,
LED flash,Dual-core 1.0 GHz,No,,,Up to 700 h,,Android 4.2 (Jelly Bean),Yes,"3.0, A2DP",,,,,About 130 EUR,,Yes,,Dual SIM,,5 MP,125 g (4.41 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 9 h 30 min,microSDHC (dedicated slot),,,HSPA,No,,"2014, May. Released 2014, May",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s308.jpg,"4.0 inches, 45.5 cm2(~56.0% screen-to-body ratio)",Philips S308,,,"Black, Black/Red, Black/White, Black/Yellow, Black/Gray",TFT,,,126 x 64.5 x 9.7 mm (4.96 x 2.54 x 0.38 in),4GB 512MB RAM,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,Yes,"Li-Ion 1400 mAh, removable",,Accelerometer,
LED flash,Quad-core 1.3 GHz,,,1.2 MP,Up to 1604 h,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,,,,,,Yes,,"Dual SIM, (Mini-SIM, dual stand-by)",,"8 MP, AF",200 g (7.05 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",Up to 33 h,microSDHC (dedicated slot),,,HSPA 21.1/5.76 Mbps,No,,"2014, May. Released 2014, May",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w6610.jpg,"5.0 inches, 68.9 cm2(~64.0% screen-to-body ratio)",Philips W6610,,,Black,IPS LCD,,,145.4 x 74.1 x 11.4 mm (5.72 x 2.92 x 0.45 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,Yes,"Li-Ion 5300 mAh, removable",,"Accelerometer, proximity",
LED flash,,"Secondary TFT, 256K colors240 x 320 pixels, 2.6 inches",,,Up to 850 h,,Android 4.2 (Jelly Bean),Yes,"2.1, EDR",,,,SNS integrationMP3/WAV/WMA/eAAC+ playerMP4/H.263 playerDocument viewerPhoto viewerOrganizerVoice memoPredictive text input,,,Yes,,Dual SIM,,5 MP,217 g (7.65 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",Up to 9 h,microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,No,,"2014, April. Released 2014, April",,GSM / HSPA,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w8578.jpg,"3.5 inches, 34.9 cm2(~50.1% screen-to-body ratio)",Philips W8578,,,Black,"TFT, 256K colors",,,116 x 60 x 21 mm (4.57 x 2.36 x 0.83 in),512MB 256MB RAM,microUSB 2.0,,No,FM radio,HSDPA 900 / 2100,,,Yes,"Li-Ion 2000 mAh, removable",,Accelerometer,
LED flash,Quad-core 1.3 GHz,No,,,,,Android 4.2 (Jelly Bean),Yes,"3.0, A2DP",,,,,About 170 EUR,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,5 MP,170 g (6.00 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,microSDHC (dedicated slot),,,HSPA 21.1/5.76 Mbps,No,,"2013, December. Released 2013, December",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w3500.jpg,"5.0 inches, 68.9 cm2(~65.9% screen-to-body ratio)",Philips W3500,,,Black,TFT,,,142 x 73.6 x 9.7 mm (5.59 x 2.90 x 0.38 in),1GB RAM,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,480p@30fps,"Li-Ion 2200 mAh, removable",,Accelerometer,
"LED flash, panorama, HDR",Quad-core 1.5 GHz,,,Yes,Up to 950 h,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP, EDR",,,,,About 340 EUR,,Yes,,"Dual SIM, (Dual stand-by)",,"13 MP, AF",200 g (7.05 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Up to 18 h,microSDHC (dedicated slot),,,HSPA,Yes (MasterCard PayPass ready),,"2013, November. Released 2013, November",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w8555.jpg,"5.0 inches, 68.9 cm2",Philips W8555,,,Black,TFT,,,-,16GB 2GB RAM,microUSB 2.0,,"GPS, GLONASS",No,HSDPA 900 / 2100,,,1080p@30fps,"Li-Po 3300 mAh, removable",,"Accelerometer, proximity, compass",
LED flash,Quad-core 1.2 GHz,,,Yes,,,Android 4.1 (Jelly Bean),"Yes, with stereo speakers","3.0, A2DP",,,,,About 220 EUR,,Yes,,"Dual SIM, (Dual stand-by)",,"8 MP, AF",154 g (5.43 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",Up to 13 h,microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2013, December. Released 2013, December",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/Philips-Xenium-W7555.jpg,"4.5 inches, 55.8 cm2(~59.6% screen-to-body ratio)",Philips W7555,Up to 35 h,,Black/Red,IPS LCD,,,136.8 x 68.5 x 13.1 mm (5.39 x 2.70 x 0.52 in),4GB 1GB RAM,microUSB 2.0,,"GPS, GLONASS",FM radio,HSDPA 900 / 2100,,,Yes,"Li-Ion 2400 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.2 GHz,"Secondary external IPS, 256K colors, 480 x 800 pixels, 3.5 inches",,1 MP,Up to 603 h,,Android 4.2 (Jelly Bean),Yes,"3.0, A2DP",,,,,,,Yes,,Dual SIM,,"8 MP, AF",246.8 g (8.71 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",Up to 16 h,"microSDHC (dedicated slot), 4 GB included",,,HSPA 21.1/11.5 Mbps,No,,"2013, December. Released 2013, December",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w9588.jpg,"3.5 inches, 34.9 cm2(~48.7% screen-to-body ratio)",Philips W9588,,,Black,"IPS LCD, 256K colors",,,116.5 x 61.5 x 20.5 mm (4.59 x 2.42 x 0.81 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100 - SIM 1,,,720p@30fps,"Li-Ion 2400 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.2 GHz,No,,,Up to 535 h,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP, LE",,,,,,,Yes,,Dual SIM,,"8 MP, AF",214 g (7.55 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~275 ppi density)",Up to 13 h,microSDHC (dedicated slot),,,HSPA 21.1/11.5 Mbps,No,,"2013, October. Released 2013, October",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w8568.jpg,"4.0 inches, 44.1 cm2(~56.7% screen-to-body ratio)",Philips W8568,,,Black,IPS LCD,,,123.5 x 63 x 18.8 mm (4.86 x 2.48 x 0.74 in),4GB 1GB RAM,microUSB 2.0,,GPS,No,HSDPA 2100,,,Yes,"Li-Ion 2100 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.2 GHz,IP67 dust/water resistant (up to 1m for 30 min),,,,,Android 4.1 (Jelly Bean),Yes,"3.0, A2DP",,,,,,,Yes,,"Dual SIM, (Mini-SIM, dual stand-by)",,"8 MP, AF",172 g (6.07 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,No,,"2013, October. Released 2013, October",,GSM / HSPA,No,,,Philips,Corning Gorilla Glass,,https://fdn2.gsmarena.com/vv/bigpic/philips-w8500.jpg,"4.3 inches, 51.0 cm2(~54.4% screen-to-body ratio)",Philips W8500,,,Silver,TFT,,,132 x 71 x 12.3 mm (5.20 x 2.80 x 0.48 in),4GB,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,,Yes,"Li-Ion 2400 mAh, removable",,"Accelerometer, proximity",
