Features,CPU,,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Price,3.5mm jack,SIM,Single,Weight,Chipset,Status,WLAN,2G bands,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Colors,Type,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,Sensors
LED flash,Dual-core 1.2 GHz Cortex-A7,,VGA,Up to 423 h,Android 4.2 (Jelly Bean),Yes,2.1,About 150 EUR,Yes,Micro-SIM,"5 MP, AF",135 g (4.76 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GSM 900 / 1800,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 16 h,microSDHC (dedicated slot),HSPA,Yes,"2014, Q1. Released 2014, Q1",,GSM / HSPA,,Prestigio,,,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5501-duo.jpg,"5.0 inches, 68.9 cm2(~61.4% screen-to-body ratio)",Prestigio MultiPhone 5501 Duo,Up to 15 h,Blue,TFT,,149.6 x 75 x 9.5 mm (5.89 x 2.95 x 0.37 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 2000 mAh, removable","Accelerometer, proximity"
LED flash,Dual-core 1.2 GHz Cortex-A7,,VGA,Up to 410 h,Android 4.2 (Jelly Bean),Yes,3.0,About 160 EUR,Yes,Dual SIM,"5 MP, AF",183 g (6.46 oz),Mediatek MT6572 (28 nm),Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GSM 900 / 1800 - SIM 1 & SIM 2,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 21 h,microSDHC,HSPA,No,"2014, Q1. Released 2014, Q1",,GSM / HSPA,,Prestigio,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5500-duo.jpg,"5.0 inches, 68.9 cm2(~62.7% screen-to-body ratio)",Prestigio MultiPhone 5500 Duo,Up to 36 h,Black/ color back panels,TFT,,146 x 75.3 x 10.6 mm (5.75 x 2.96 x 0.42 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 2000 mAh, removable","Accelerometer, proximity"
LED flash,Dual-core 1.2 GHz Cortex-A7,,VGA,Up to 270 h,Android 4.2 (Jelly Bean),Yes,2.1,About 120 EUR,Yes,Dual SIM,"5 MP, AF",145 g (5.11 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 900 / 1800 - SIM 1 & SIM 2,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Up to 15 h,microSDHC,HSPA,No,"2014, Q1. Released 2014, Q1",,GSM / HSPA,,Prestigio,,,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5450-duo.jpg,"4.5 inches, 55.8 cm2(~62.2% screen-to-body ratio)",Prestigio MultiPhone 5451 Duo,Up to 16 h,"Black, White",TFT,,134 x 67 x 10.3 mm (5.28 x 2.64 x 0.41 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 1500 mAh, removable","Accelerometer, proximity"
LED flash,Dual-core 1.2 GHz Cortex-A7,,VGA,Up to 270 h,Android 4.2 (Jelly Bean),Yes,2.1,About 120 EUR,Yes,Dual SIM,"5 MP, AF",145 g (5.11 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GSM 900 / 1800 - SIM 1 & SIM 2,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Up to 15 h,microSDHC,HSPA,No,"2014, Q1. Released 2014, Q1",,GSM / HSPA,,Prestigio,,,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5450-duo.jpg,"4.5 inches, 55.8 cm2(~62.2% screen-to-body ratio)",Prestigio MultiPhone 5450 Duo,Up to 16 h,Black/ color back panels,TFT,,134 x 67 x 10.3 mm (5.28 x 2.64 x 0.41 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 1500 mAh, removable","Accelerometer, proximity"
LED flash,Dual-core 1.2 GHz Cotex-A7,,VGA,Up to 351 h,Android 4.2 (Jelly Bean),Yes,Yes,About 90 EUR,Yes,Dual SIM,3.15 MP,120 g (4.23 oz),Mediatek MT6572 (28 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 900 / 1800 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 10 h,microSDHC (dedicated slot),HSPA 21.1/5.76 Mbps,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/prestigio-MultiPhone-3400-DUO.jpg,"4.0 inches, 45.5 cm2",Prestigio MultiPhone 3400 Duo,Up to 24 h,Black,TFT,,-,4GB 512MB RAM,microUSB 2.0,,No,No,HSDPA 900 / 2100,Yes,"Li-Ion 1500 mAh, removable",Accelerometer
Dual-LED flash,1.2 GHz,,1.2 MP,Up to 400 h,Android 4.0 (Ice Cream Sandwich),Yes,"2.1, A2DP",About 210 EUR,Yes,Mini-SIM,"8 MP, AF",140 g (4.94 oz),Intel Atom Z2420,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Up to 12 h,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX540,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5430-duo.jpg,"4.3 inches, 51.0 cm2(~62.5% screen-to-body ratio)",Prestigio MultiPhone 5430 Duo,Up to 24 h,White,IPS LCD,,126 x 64.7 x 10 mm (4.96 x 2.55 x 0.39 in),4GB 1GB RAM,microUSB 2.0,,,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 2000 mAh, removable",Accelerometer
Dual-LED flash,Quad-core 1.2 GHz Cortex-A5,,VGA,,Android 4.1 (Jelly Bean),Yes,Yes,About 120 EUR,Yes,Dual SIM (Mini-SIM),"8 MP, AF",132 g (4.66 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5400-duo.jpg,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",Prestigio MultiPhone 5400 Duo,,White,TFT,,126 x 63.5 x 9.9 mm (4.96 x 2.5 x 0.39 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 1700 mAh, removable","Accelerometer, proximity"
Dual-LED flash,Quad-core 1.2 GHz Cortex-A5,,1.2 MP,Up to 500 h,Android 4.1 (Jelly Bean),Yes,"4.0, A2DP",About 180 EUR,Yes,Dual SIM (Mini-SIM),"8 MP, AF",140 g (4.94 oz),Qualcomm MSM8225 Snapdragon S4 Play,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 900 / 1800 - SIM 1 & SIM 2,"480 x 854 pixels, 16:9 ratio (~185 ppi density)",Up to 16 h,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,Adreno 203,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5300-duo.jpg,"5.3 inches, 77.4 cm2(~68.2% screen-to-body ratio)",Prestigio MultiPhone 5300 Duo,Up to 17 h,White,TFT,,147 x 77.2 x 9.9 mm (5.79 x 3.04 x 0.39 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 2100 mAh, removable","Accelerometer, gyro"
LED flash,Quad-core 1.2 GHz Cortex-A7,,2 MP,Up to 281 h,Android 4.2 (Jelly Bean),Yes,Yes,About 200 EUR,Yes,Dual SIM (Mini-SIM),"8 MP, AF",130 g (4.59 oz),Mediatek MT6589 (28 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 15 h,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5044-duo.jpg,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",Prestigio MultiPhone 5044 Duo,Up to 22 h 30 min,Black,IPS LCD,,145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 2000 mAh, removable","Accelerometer, proximity, compass"
LED flash,Dual-core 1.2 GHz Cortex-A9,,VGA,Up to 259 h,Android 4.1 (Jelly Bean),Yes,"2.1, A2DP",About 150 EUR,Yes,Dual SIM (Mini-SIM),"5 MP, AF",199 g (7.02 oz),Mediatek MT6577T (40 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",Up to 15 h 30 min,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5000-duo.jpg,"5.0 inches, 71.2 cm2(~60.7% screen-to-body ratio)",Prestigio MultiPhone 5000 Duo,Up to 26 h,White,TFT,,148.5 x 79 x 10.2 mm (5.85 x 3.11 x 0.40 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 2200 mAh, removable","Accelerometer, proximity"
,Dual-core 1.2 GHz Cortex-A9,,VGA,Up to 203 h,Android 4.1 (Jelly Bean),Yes,"4.0, A2DP",About 120 EUR,Yes,Dual SIM (Mini-SIM),"8 MP, AF",134 g (4.73 oz),Mediatek MT6577T (40 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Up to 13 h,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4505-duo.jpg,"4.5 inches, 55.8 cm2(~65.0% screen-to-body ratio)",Prestigio MultiPhone 4505 Duo,Up to 20 h,Black,TFT,,130 x 66 x 10.5 mm (5.12 x 2.60 x 0.41 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 1800 mAh, removable","Accelerometer, proximity"
LED flash,Dual-core 1.2 GHz Cortex-A9,,VGA,Up to 237 h,Android 4.1 (Jelly Bean),Yes,"3.0, A2DP",About 120 EUR,Yes,Dual SIM (Mini-SIM),"8 MP, AF",158 g (5.57 oz),Mediatek MT6577T (40 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"540 x 960 pixels, 16:10 ratio (~226 ppi density)",Up to 11 h,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,Corning Gorilla Glass,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4500-duo.jpg,"4.5 inches, 58.8 cm2(~63.2% screen-to-body ratio)",Prestigio MultiPhone 4500 Duo,Up to 17 h,White,IPS LCD,,135 x 69 x 9.6 mm (5.31 x 2.72 x 0.38 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 1850 mAh, removable","Accelerometer, proximity, compass"
"LED flash, panorama, HDR",Dual-core 1.2 GHz Cortex-A9,,VGA,Up to 169 h,Android 4.1 (Jelly Bean),Yes,"3.0, A2DP",About 120 EUR,Yes,Dual SIM (Mini-SIM),"8 MP, AF",133 g (4.69 oz),Mediatek MT6577T (40 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Up to 10 h,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4322-duo.jpg,"4.3 inches, 52.6 cm2(~59.8% screen-to-body ratio)",Prestigio MultiPhone 4322 Duo,Up to 8 h 30 min,White,TFT,,130 x 67.7 x 10.5 mm (5.12 x 2.67 x 0.41 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 1500 mAh, removable","Accelerometer, proximity, compass"
"LED flash, panorama, HDR",1.0 GHz Cortex-A9,,VGA,Up to 120 h,Android 4.0 (Ice Cream Sandwich),Yes,"4.0, A2DP",About 110 EUR,Yes,Dual SIM (Mini-SIM),"5 MP, AF",190 g (6.70 oz),Mediatek MT6575 (40 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 900 / 1800 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Up to 3 h,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4300-duo.jpg,"4.3 inches, 52.6 cm2(~60.5% screen-to-body ratio)",Prestigio MultiPhone 4300 Duo,,Black,IPS LCD,,128 x 68 x 10.5 mm (5.04 x 2.68 x 0.41 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 2100,Yes,"Li-Po 1500 mAh, removable","Accelerometer, proximity, compass"
LED flash,Dual-core 1.2 GHz Cortex-A9,,VGA,Up to 300 h,Android 4.0 (Ice Cream Sandwich),Yes,"4.0, A2DP",About 120 EUR,Yes,Dual SIM (Mini-SIM),"8 MP, AF",134 g (4.73 oz),Mediatek MT6577T (40 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 900 / 1800 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 14 h 30 min,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4055-duo.jpg,"4.0 inches, 45.5 cm2(~55.9% screen-to-body ratio)",Prestigio MultiPhone 4055 Duo,Up to 33 h 30 min,Black,TFT,,127.1 x 64.1 x 12.8 mm (5.00 x 2.52 x 0.50 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 2500 mAh, removable","Accelerometer, proximity"
"LED flash, panorama, HDR",Dual-core 1.2 GHz Cortex-A9,,VGA,Up to 150 h,Android 4.1 (Jelly Bean),Yes,"3.0, A2DP",About 100 EUR,Yes,Dual SIM (Mini-SIM),"8 MP, AF",124 g (4.37 oz),Mediatek MT6577T (40 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 11 h,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4044-duo.jpg,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",Prestigio MultiPhone 4044 Duo,Up to 9 h,White,TFT,,125 x 64 x 10.4 mm (4.92 x 2.52 x 0.41 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 1500 mAh, removable","Accelerometer, proximity, compass"
"LED flash, panorama, HDR",1.0 GHz Cortex-A9,,VGA,Up to 225 h,Android 4.0 (Ice Cream Sandwich),Yes,2.1,About 100 EUR,Yes,Dual SIM (Mini-SIM),"5 MP, AF",180 g (6.35 oz),Mediatek MT6575 (40 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 10 h 30 min,microSDHC (dedicated slot),HSPA,No,2013. Released 2013,,GSM / HSPA,,Prestigio,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4040-duo.jpg,"4.0 inches, 45.5 cm2(~57.4% screen-to-body ratio)",Prestigio MultiPhone 4040 Duo,Up to 18 h,Black,TFT,,124 x 64 x 11 mm (4.88 x 2.52 x 0.43 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 1500 mAh, removable","Accelerometer, proximity, compass"
